"Step","Sweep run - train_accuracy","Sweep run - train_accuracy__MIN","Sweep run - train_accuracy__MAX","Sweep run - test_accuracy","Sweep run - test_accuracy__MIN","Sweep run - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed WDA - train_accuracy","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MAX","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX"
"23","0.965","0.965","0.965","0.9532342657342657","0.9532342657342657","0.9532342657342657","0.9975","0.9975","0.9975","0.9431818181818182","0.9431818181818182","0.9431818181818182"
"24","0.955","0.955","0.955","0.9523601398601399","0.9523601398601399","0.9523601398601399","0.9975","0.9975","0.9975","0.9366258741258742","0.9366258741258742","0.9366258741258742"
"25","0.9825","0.9825","0.9825","0.9523601398601399","0.9523601398601399","0.9523601398601399","0.9975","0.9975","0.9975","0.9366258741258742","0.9366258741258742","0.9366258741258742"
"26","0.9825","0.9825","0.9825","0.951486013986014","0.951486013986014","0.951486013986014","0.9975","0.9975","0.9975","0.9414335664335665","0.9414335664335665","0.9414335664335665"
"27","0.9725","0.9725","0.9725","0.9532342657342657","0.9532342657342657","0.9532342657342657","1","1","1","0.9313811188811189","0.9313811188811189","0.9313811188811189"
"28","0.97","0.97","0.97","0.9527972027972028","0.9527972027972028","0.9527972027972028","0.995","0.995","0.995","0.9274475524475524","0.9274475524475524","0.9274475524475524"
"29","0.985","0.985","0.985","0.9536713286713286","0.9536713286713286","0.9536713286713286","0.995","0.995","0.995","0.9357517482517482","0.9357517482517482","0.9357517482517482"
"30","0.98","0.98","0.98","0.9567307692307693","0.9567307692307693","0.9567307692307693","1","1","1","0.9366258741258742","0.9366258741258742","0.9366258741258742"
"31","0.9825","0.9825","0.9825","0.9584790209790209","0.9584790209790209","0.9584790209790209","0.9975","0.9975","0.9975","0.9383741258741258","0.9383741258741258","0.9383741258741258"
"32","0.9675","0.9675","0.9675","0.9545454545454546","0.9545454545454546","0.9545454545454546","","","","","",""
"33","0.98","0.98","0.98","0.9549825174825175","0.9549825174825175","0.9549825174825175","","","","","",""
"34","0.975","0.975","0.975","0.9567307692307693","0.9567307692307693","0.9567307692307693","","","","","",""
"35","0.985","0.985","0.985","0.9584790209790209","0.9584790209790209","0.9584790209790209","","","","","",""
"36","0.9825","0.9825","0.9825","0.958916083916084","0.958916083916084","0.958916083916084","","","","","",""
"37","0.985","0.985","0.985","0.958916083916084","0.958916083916084","0.958916083916084","","","","","",""
"38","0.985","0.985","0.985","0.9593531468531469","0.9593531468531469","0.9593531468531469","","","","","",""
"39","0.975","0.975","0.975","0.9571678321678322","0.9571678321678322","0.9571678321678322","","","","","",""
"40","0.99","0.99","0.99","0.9615384615384616","0.9615384615384616","0.9615384615384616","","","","","",""
"41","0.985","0.985","0.985","0.9571678321678322","0.9571678321678322","0.9571678321678322","","","","","",""
"42","0.99","0.99","0.99","0.9584790209790209","0.9584790209790209","0.9584790209790209","","","","","",""
"43","0.985","0.985","0.985","0.9484265734265734","0.9484265734265734","0.9484265734265734","","","","","",""
"44","0.99","0.99","0.99","0.951486013986014","0.951486013986014","0.951486013986014","","","","","",""
"45","0.9825","0.9825","0.9825","0.951486013986014","0.951486013986014","0.951486013986014","","","","","",""
"46","0.9925","0.9925","0.9925","0.9541083916083916","0.9541083916083916","0.9541083916083916","","","","","",""
"47","0.9875","0.9875","0.9875","0.9545454545454546","0.9545454545454546","0.9545454545454546","","","","","",""
"48","0.9825","0.9825","0.9825","0.958041958041958","0.958041958041958","0.958041958041958","","","","","",""
"49","0.9875","0.9875","0.9875","0.9541083916083916","0.9541083916083916","0.9541083916083916","","","","","",""
"50","0.99","0.99","0.99","0.9541083916083916","0.9541083916083916","0.9541083916083916","","","","","",""
"51","0.985","0.985","0.985","0.9541083916083916","0.9541083916083916","0.9541083916083916","","","","","",""
"52","0.9875","0.9875","0.9875","0.9562937062937062","0.9562937062937062","0.9562937062937062","","","","","",""
"53","0.985","0.985","0.985","0.9536713286713286","0.9536713286713286","0.9536713286713286","","","","","",""
"54","0.995","0.995","0.995","0.9532342657342657","0.9532342657342657","0.9532342657342657","","","","","",""
"55","0.9975","0.9975","0.9975","0.9506118881118881","0.9506118881118881","0.9506118881118881","","","","","",""
"56","0.9875","0.9875","0.9875","0.9536713286713286","0.9536713286713286","0.9536713286713286","","","","","",""
"57","0.98","0.98","0.98","0.9484265734265734","0.9484265734265734","0.9484265734265734","","","","","",""
"58","0.9875","0.9875","0.9875","0.9479895104895105","0.9479895104895105","0.9479895104895105","","","","","",""
"59","0.9925","0.9925","0.9925","0.9493006993006993","0.9493006993006993","0.9493006993006993","","","","","",""
"60","0.9825","0.9825","0.9825","0.9519230769230769","0.9519230769230769","0.9519230769230769","","","","","",""
"61","0.99","0.99","0.99","0.9545454545454546","0.9545454545454546","0.9545454545454546","","","","","",""
"62","0.9875","0.9875","0.9875","0.9536713286713286","0.9536713286713286","0.9536713286713286","","","","","",""
"63","0.9875","0.9875","0.9875","0.9562937062937062","0.9562937062937062","0.9562937062937062","","","","","",""
"64","0.995","0.995","0.995","0.9541083916083916","0.9541083916083916","0.9541083916083916","","","","","",""
"65","0.9925","0.9925","0.9925","0.9479895104895105","0.9479895104895105","0.9479895104895105","","","","","",""
"66","0.9925","0.9925","0.9925","0.9536713286713286","0.9536713286713286","0.9536713286713286","","","","","",""
"67","0.9875","0.9875","0.9875","0.9532342657342657","0.9532342657342657","0.9532342657342657","","","","","",""
