"Step","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed - test_accuracy","Squeeze-and-Excitation Unfreezed - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed - test_accuracy__MAX","Add-New-Block Unfreezed WDA - test_accuracy","Add-New-Block Unfreezed WDA - test_accuracy__MIN","Add-New-Block Unfreezed WDA - test_accuracy__MAX","Remove-2-Blocks Unfreezed WDA - test_accuracy","Remove-2-Blocks Unfreezed WDA - test_accuracy__MIN","Remove-2-Blocks Unfreezed WDA - test_accuracy__MAX","Remove-1-Block Unfreezed WDA - test_accuracy","Remove-1-Block Unfreezed WDA - test_accuracy__MIN","Remove-1-Block Unfreezed WDA - test_accuracy__MAX","Add-New-Block Unfreezed - test_accuracy","Add-New-Block Unfreezed - test_accuracy__MIN","Add-New-Block Unfreezed - test_accuracy__MAX","Remove-2-Blocks Unfreezed - test_accuracy","Remove-2-Blocks Unfreezed - test_accuracy__MIN","Remove-2-Blocks Unfreezed - test_accuracy__MAX","Remove-1-Block Unfreezed - test_accuracy","Remove-1-Block Unfreezed - test_accuracy__MIN","Remove-1-Block Unfreezed - test_accuracy__MAX"
"10","0.9471153846153846","0.9471153846153846","0.9471153846153846","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.9309440559440559","0.9309440559440559","0.9309440559440559","0.8138111888111889","0.8138111888111889","0.8138111888111889","0.9296328671328671","0.9296328671328671","0.9296328671328671","0.9436188811188811","0.9436188811188811","0.9436188811188811","0.8015734265734266","0.8015734265734266","0.8015734265734266","0.9340034965034965","0.9340034965034965","0.9340034965034965"
"11","0.9453671328671329","0.9453671328671329","0.9453671328671329","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.9230769230769231","0.9230769230769231","0.9230769230769231","0.8125","0.8125","0.8125","0.9208916083916084","0.9208916083916084","0.9208916083916084","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.8155594405594405","0.8155594405594405","0.8155594405594405","0.9283216783216783","0.9283216783216783","0.9283216783216783"
"12","0.9466783216783217","0.9466783216783217","0.9466783216783217","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.930506993006993","0.930506993006993","0.930506993006993","0.8243006993006993","0.8243006993006993","0.8243006993006993","0.9108391608391608","0.9108391608391608","0.9108391608391608","0.9440559440559441","0.9440559440559441","0.9440559440559441","0.833916083916084","0.833916083916084","0.833916083916084","0.9256993006993007","0.9256993006993007","0.9256993006993007"
"13","0.9484265734265734","0.9484265734265734","0.9484265734265734","0.9379370629370629","0.9379370629370629","0.9379370629370629","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.8361013986013986","0.8361013986013986","0.8361013986013986","0.9252622377622378","0.9252622377622378","0.9252622377622378","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.8343531468531469","0.8343531468531469","0.8343531468531469","0.9318181818181818","0.9318181818181818","0.9318181818181818"
"14","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.9261363636363636","0.9261363636363636","0.9261363636363636","0.8553321678321678","0.8553321678321678","0.8553321678321678","0.9226398601398601","0.9226398601398601","0.9226398601398601","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.8500874125874126","0.8500874125874126","0.8500874125874126","0.9265734265734266","0.9265734265734266","0.9265734265734266"
"15","0.944493006993007","0.944493006993007","0.944493006993007","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.9318181818181818","0.9318181818181818","0.9318181818181818","0.868006993006993","0.868006993006993","0.868006993006993","0.9213286713286714","0.9213286713286714","0.9213286713286714","0.9440559440559441","0.9440559440559441","0.9440559440559441","0.8483391608391608","0.8483391608391608","0.8483391608391608","0.923951048951049","0.923951048951049","0.923951048951049"
"16","0.9471153846153846","0.9471153846153846","0.9471153846153846","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.9353146853146853","0.9353146853146853","0.9353146853146853","0.8120629370629371","0.8120629370629371","0.8120629370629371","0.9042832167832168","0.9042832167832168","0.9042832167832168","0.9471153846153846","0.9471153846153846","0.9471153846153846","0.8430944055944056","0.8430944055944056","0.8430944055944056","0.9252622377622378","0.9252622377622378","0.9252622377622378"
"17","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.9436188811188811","0.9436188811188811","0.9436188811188811","0.8570804195804196","0.8570804195804196","0.8570804195804196","0.9165209790209791","0.9165209790209791","0.9165209790209791","0.9462412587412588","0.9462412587412588","0.9462412587412588","0.8439685314685315","0.8439685314685315","0.8439685314685315","0.9283216783216783","0.9283216783216783","0.9283216783216783"
"18","0.9462412587412588","0.9462412587412588","0.9462412587412588","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.9436188811188811","0.9436188811188811","0.9436188811188811","0.8509615384615384","0.8509615384615384","0.8509615384615384","0.9138986013986014","0.9138986013986014","0.9138986013986014","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.8513986013986014","0.8513986013986014","0.8513986013986014","0.9182692307692307","0.9182692307692307","0.9182692307692307"
"19","0.9471153846153846","0.9471153846153846","0.9471153846153846","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.9449300699300699","0.9449300699300699","0.9449300699300699","0.8513986013986014","0.8513986013986014","0.8513986013986014","0.9012237762237763","0.9012237762237763","0.9012237762237763","0.9414335664335665","0.9414335664335665","0.9414335664335665","0.8658216783216783","0.8658216783216783","0.8658216783216783","0.9173951048951049","0.9173951048951049","0.9173951048951049"
