Using GPU 0: NVIDIA GeForce RTX 3090
Epoch 1/500 - Train Loss: 2.0204, Train Accuracy: 0.2275, Test Loss: 2.0759, Test Accuracy: 0.1582
Epoch 2/500 - Train Loss: 1.5914, Train Accuracy: 0.5625, Test Loss: 2.0010, Test Accuracy: 0.2242
Epoch 3/500 - Train Loss: 1.3051, Train Accuracy: 0.7425, Test Loss: 1.7820, Test Accuracy: 0.4559
Epoch 4/500 - Train Loss: 1.0494, Train Accuracy: 0.8450, Test Loss: 1.5096, Test Accuracy: 0.6630
Epoch 5/500 - Train Loss: 0.8706, Train Accuracy: 0.8950, Test Loss: 1.2303, Test Accuracy: 0.7863
Epoch 6/500 - Train Loss: 0.7245, Train Accuracy: 0.8950, Test Loss: 0.9959, Test Accuracy: 0.8610
Epoch 7/500 - Train Loss: 0.6120, Train Accuracy: 0.9275, Test Loss: 0.8237, Test Accuracy: 0.8973
Epoch 8/500 - Train Loss: 0.5319, Train Accuracy: 0.9350, Test Loss: 0.6852, Test Accuracy: 0.9030
Epoch 9/500 - Train Loss: 0.4386, Train Accuracy: 0.9575, Test Loss: 0.5693, Test Accuracy: 0.9205
Epoch 10/500 - Train Loss: 0.3916, Train Accuracy: 0.9650, Test Loss: 0.4918, Test Accuracy: 0.9257
Epoch 11/500 - Train Loss: 0.3380, Train Accuracy: 0.9625, Test Loss: 0.4357, Test Accuracy: 0.9279
Epoch 12/500 - Train Loss: 0.2962, Train Accuracy: 0.9600, Test Loss: 0.3967, Test Accuracy: 0.9323
Epoch 13/500 - Train Loss: 0.2771, Train Accuracy: 0.9725, Test Loss: 0.3678, Test Accuracy: 0.9384
Epoch 14/500 - Train Loss: 0.2654, Train Accuracy: 0.9750, Test Loss: 0.3391, Test Accuracy: 0.9366
Epoch 15/500 - Train Loss: 0.2403, Train Accuracy: 0.9800, Test Loss: 0.3175, Test Accuracy: 0.9423
Epoch 16/500 - Train Loss: 0.2297, Train Accuracy: 0.9825, Test Loss: 0.2995, Test Accuracy: 0.9441
Epoch 17/500 - Train Loss: 0.2099, Train Accuracy: 0.9875, Test Loss: 0.2873, Test Accuracy: 0.9454
Epoch 18/500 - Train Loss: 0.1811, Train Accuracy: 0.9875, Test Loss: 0.2777, Test Accuracy: 0.9476
Epoch 19/500 - Train Loss: 0.1764, Train Accuracy: 0.9900, Test Loss: 0.2778, Test Accuracy: 0.9476
Epoch 20/500 - Train Loss: 0.1845, Train Accuracy: 0.9750, Test Loss: 0.2777, Test Accuracy: 0.9489
Epoch 21/500 - Train Loss: 0.1788, Train Accuracy: 0.9825, Test Loss: 0.2724, Test Accuracy: 0.9489
Epoch 22/500 - Train Loss: 0.1646, Train Accuracy: 0.9900, Test Loss: 0.2691, Test Accuracy: 0.9493
Epoch 23/500 - Train Loss: 0.1567, Train Accuracy: 0.9925, Test Loss: 0.2714, Test Accuracy: 0.9506
Epoch 24/500 - Train Loss: 0.1436, Train Accuracy: 0.9950, Test Loss: 0.2727, Test Accuracy: 0.9493
Epoch 25/500 - Train Loss: 0.1564, Train Accuracy: 0.9925, Test Loss: 0.2761, Test Accuracy: 0.9445
Epoch 26/500 - Train Loss: 0.1435, Train Accuracy: 0.9950, Test Loss: 0.2830, Test Accuracy: 0.9406
Epoch 27/500 - Train Loss: 0.1348, Train Accuracy: 0.9975, Test Loss: 0.2840, Test Accuracy: 0.9397
Epoch 28/500 - Train Loss: 0.1388, Train Accuracy: 0.9925, Test Loss: 0.2754, Test Accuracy: 0.9423
Epoch 29/500 - Train Loss: 0.1383, Train Accuracy: 0.9925, Test Loss: 0.2705, Test Accuracy: 0.9458
Epoch 30/500 - Train Loss: 0.1441, Train Accuracy: 0.9900, Test Loss: 0.2668, Test Accuracy: 0.9467
Epoch 31/500 - Train Loss: 0.1520, Train Accuracy: 0.9850, Test Loss: 0.2612, Test Accuracy: 0.9484
Epoch 32/500 - Train Loss: 0.1333, Train Accuracy: 0.9925, Test Loss: 0.2585, Test Accuracy: 0.9467
Epoch 33/500 - Train Loss: 0.1313, Train Accuracy: 0.9900, Test Loss: 0.2676, Test Accuracy: 0.9436
Epoch 34/500 - Train Loss: 0.1222, Train Accuracy: 0.9950, Test Loss: 0.2653, Test Accuracy: 0.9423
Epoch 35/500 - Train Loss: 0.1208, Train Accuracy: 0.9950, Test Loss: 0.2824, Test Accuracy: 0.9349
Epoch 36/500 - Train Loss: 0.1289, Train Accuracy: 0.9900, Test Loss: 0.2924, Test Accuracy: 0.9318
Epoch 37/500 - Train Loss: 0.1339, Train Accuracy: 0.9900, Test Loss: 0.2966, Test Accuracy: 0.9292
Epoch 38/500 - Train Loss: 0.1214, Train Accuracy: 0.9975, Test Loss: 0.2972, Test Accuracy: 0.9305
Epoch 39/500 - Train Loss: 0.1213, Train Accuracy: 0.9950, Test Loss: 0.2954, Test Accuracy: 0.9305
Epoch 40/500 - Train Loss: 0.1174, Train Accuracy: 0.9950, Test Loss: 0.3001, Test Accuracy: 0.9279
