Using GPU 0: NVIDIA GeForce RTX 3090
Epoch 1/500 - Train Loss: 1.9985, Train Accuracy: 0.2225, Test Loss: 2.0550, Test Accuracy: 0.1818
Epoch 2/500 - Train Loss: 1.6101, Train Accuracy: 0.5625, Test Loss: 1.8156, Test Accuracy: 0.4371
Epoch 3/500 - Train Loss: 1.2151, Train Accuracy: 0.7925, Test Loss: 1.4161, Test Accuracy: 0.6967
Epoch 4/500 - Train Loss: 0.9515, Train Accuracy: 0.8575, Test Loss: 1.0785, Test Accuracy: 0.8160
Epoch 5/500 - Train Loss: 0.7483, Train Accuracy: 0.9150, Test Loss: 0.8219, Test Accuracy: 0.8824
Epoch 6/500 - Train Loss: 0.5689, Train Accuracy: 0.9325, Test Loss: 0.6497, Test Accuracy: 0.9008
Epoch 7/500 - Train Loss: 0.4602, Train Accuracy: 0.9375, Test Loss: 0.5113, Test Accuracy: 0.9205
Epoch 8/500 - Train Loss: 0.3911, Train Accuracy: 0.9575, Test Loss: 0.4154, Test Accuracy: 0.9375
Epoch 9/500 - Train Loss: 0.3104, Train Accuracy: 0.9675, Test Loss: 0.3498, Test Accuracy: 0.9423
Epoch 10/500 - Train Loss: 0.2841, Train Accuracy: 0.9775, Test Loss: 0.3108, Test Accuracy: 0.9449
Epoch 11/500 - Train Loss: 0.2222, Train Accuracy: 0.9800, Test Loss: 0.2874, Test Accuracy: 0.9471
Epoch 12/500 - Train Loss: 0.2228, Train Accuracy: 0.9675, Test Loss: 0.2726, Test Accuracy: 0.9480
Epoch 13/500 - Train Loss: 0.1782, Train Accuracy: 0.9900, Test Loss: 0.2663, Test Accuracy: 0.9489
Epoch 14/500 - Train Loss: 0.1782, Train Accuracy: 0.9825, Test Loss: 0.2513, Test Accuracy: 0.9528
Epoch 15/500 - Train Loss: 0.1733, Train Accuracy: 0.9800, Test Loss: 0.2465, Test Accuracy: 0.9532
Epoch 16/500 - Train Loss: 0.1609, Train Accuracy: 0.9850, Test Loss: 0.2379, Test Accuracy: 0.9493
Epoch 17/500 - Train Loss: 0.1364, Train Accuracy: 0.9875, Test Loss: 0.2429, Test Accuracy: 0.9445
Epoch 18/500 - Train Loss: 0.1554, Train Accuracy: 0.9850, Test Loss: 0.2374, Test Accuracy: 0.9462
Epoch 19/500 - Train Loss: 0.1291, Train Accuracy: 0.9900, Test Loss: 0.2206, Test Accuracy: 0.9506
Epoch 20/500 - Train Loss: 0.1085, Train Accuracy: 0.9900, Test Loss: 0.2185, Test Accuracy: 0.9480
Epoch 21/500 - Train Loss: 0.1042, Train Accuracy: 0.9950, Test Loss: 0.2234, Test Accuracy: 0.9480
Epoch 22/500 - Train Loss: 0.1085, Train Accuracy: 0.9875, Test Loss: 0.2241, Test Accuracy: 0.9471
Epoch 23/500 - Train Loss: 0.1005, Train Accuracy: 0.9900, Test Loss: 0.2131, Test Accuracy: 0.9502
Epoch 24/500 - Train Loss: 0.0892, Train Accuracy: 0.9975, Test Loss: 0.2205, Test Accuracy: 0.9445
Epoch 25/500 - Train Loss: 0.1071, Train Accuracy: 0.9900, Test Loss: 0.2182, Test Accuracy: 0.9445
Epoch 26/500 - Train Loss: 0.0837, Train Accuracy: 0.9975, Test Loss: 0.2140, Test Accuracy: 0.9449
Epoch 27/500 - Train Loss: 0.0832, Train Accuracy: 0.9925, Test Loss: 0.2360, Test Accuracy: 0.9401
Epoch 28/500 - Train Loss: 0.0876, Train Accuracy: 0.9950, Test Loss: 0.2492, Test Accuracy: 0.9384
Epoch 29/500 - Train Loss: 0.0966, Train Accuracy: 0.9850, Test Loss: 0.2607, Test Accuracy: 0.9331
Epoch 30/500 - Train Loss: 0.1014, Train Accuracy: 0.9875, Test Loss: 0.2344, Test Accuracy: 0.9423
Epoch 31/500 - Train Loss: 0.0769, Train Accuracy: 1.0000, Test Loss: 0.2199, Test Accuracy: 0.9476
Epoch 32/500 - Train Loss: 0.0807, Train Accuracy: 0.9950, Test Loss: 0.2116, Test Accuracy: 0.9502
Epoch 33/500 - Train Loss: 0.0737, Train Accuracy: 0.9975, Test Loss: 0.2298, Test Accuracy: 0.9436
Epoch 34/500 - Train Loss: 0.0841, Train Accuracy: 0.9950, Test Loss: 0.2319, Test Accuracy: 0.9432
Epoch 35/500 - Train Loss: 0.0743, Train Accuracy: 0.9925, Test Loss: 0.2295, Test Accuracy: 0.9410
Epoch 36/500 - Train Loss: 0.0719, Train Accuracy: 0.9975, Test Loss: 0.2262, Test Accuracy: 0.9449
Epoch 37/500 - Train Loss: 0.0703, Train Accuracy: 0.9975, Test Loss: 0.2359, Test Accuracy: 0.9353
Epoch 38/500 - Train Loss: 0.0629, Train Accuracy: 1.0000, Test Loss: 0.2330, Test Accuracy: 0.9384
Epoch 39/500 - Train Loss: 0.0751, Train Accuracy: 0.9925, Test Loss: 0.2641, Test Accuracy: 0.9279
Epoch 40/500 - Train Loss: 0.0801, Train Accuracy: 0.9950, Test Loss: 0.2494, Test Accuracy: 0.9336
Epoch 41/500 - Train Loss: 0.0754, Train Accuracy: 0.9925, Test Loss: 0.2285, Test Accuracy: 0.9423
Epoch 42/500 - Train Loss: 0.0853, Train Accuracy: 0.9900, Test Loss: 0.2235, Test Accuracy: 0.9458
Epoch 43/500 - Train Loss: 0.0715, Train Accuracy: 0.9950, Test Loss: 0.2222, Test Accuracy: 0.9476
Epoch 44/500 - Train Loss: 0.0650, Train Accuracy: 0.9975, Test Loss: 0.2192, Test Accuracy: 0.9484
Epoch 45/500 - Train Loss: 0.0571, Train Accuracy: 1.0000, Test Loss: 0.2182, Test Accuracy: 0.9484
Epoch 46/500 - Train Loss: 0.0644, Train Accuracy: 1.0000, Test Loss: 0.2163, Test Accuracy: 0.9506
Epoch 47/500 - Train Loss: 0.0632, Train Accuracy: 0.9975, Test Loss: 0.2214, Test Accuracy: 0.9484

Early stopping triggered at epoch 47
Best test loss: 0.2116
Best test accuracy: 0.9532
Plot saved as trained_models/Sweep run/metrics/loss.png
Plot saved as trained_models/Sweep run/metrics/metrics.png
