Pyramidal gran_denormal - test_accuracy,Pyramidal gran_denormal - train_accuracy,Pyramidal gran_denormal - test_loss,Pyramidal gran_denormal - train_loss,Step,Pyramidal petit_normal - test_accuracy,Pyramidal petit_normal - train_accuracy,Pyramidal petit_normal - test_loss,Pyramidal petit_normal - train_loss,Pyramidal petit_denormal - test_accuracy,Pyramidal petit_denormal - train_accuracy,Pyramidal petit_denormal - test_loss,Pyramidal petit_denormal - train_loss,Pyramidal gran_normal - test_accuracy,Pyramidal gran_normal - train_accuracy,Pyramidal gran_normal - test_loss,Pyramidal gran_normal - train_loss
0.15136363636363637,0.1003448275862069,2.3644088181582363,2.3940079410596824,0.0,0.17863636363636365,0.15045977011494252,2.353048496246338,2.4082331386653855,0.1940909090909091,0.14551724137931035,2.2389192442460493,2.34749928923859,0.12681818181818183,0.16655172413793104,2.3899291957508435,2.320937183423974
0.16772727272727272,0.1513793103448276,2.279706933281638,2.3470857960054246,1.0,0.21136363636363636,0.18586206896551724,2.20676681952043,2.2881917933760016,0.21818181818181817,0.18275862068965518,2.2015721182389694,2.27427861410996,0.21454545454545454,0.1906896551724138,2.3477367877960207,2.2723552268675005
0.1968181818181818,0.17195402298850573,2.2288752590526233,2.2913075164268757,2.0,0.22136363636363637,0.18747126436781608,2.206355965787714,2.2705934686770384,0.23,0.19344827586206897,2.181986394362016,2.2632389741656422,0.2359090909090909,0.19758620689655174,2.2123989738117564,2.256658217550694
0.2018181818181818,0.1857471264367816,2.212829420783303,2.2676415248300836,3.0,0.25136363636363634,0.2052873563218391,2.169632504203103,2.2535298810059996,0.22727272727272727,0.20724137931034484,2.1829076853665437,2.240821821388157,0.20045454545454544,0.21402298850574714,2.2087885171716866,2.244250504614293
0.20136363636363636,0.19666666666666666,2.2092057635567404,2.2613699051429483,4.0,0.225,0.22,2.2034345002607867,2.23634853659005,0.245,0.20942528735632185,2.1669124776666813,2.2340385999350714,0.24681818181818183,0.21160919540229886,2.155346284346147,2.2354847287583626
0.20954545454545453,0.19528735632183908,2.1964543706720527,2.2565304860301403,5.0,0.22136363636363637,0.22873563218390805,2.231234374479814,2.2178807850541737,0.23545454545454544,0.21413793103448275,2.1560155140269885,2.2324742501357506,0.27636363636363637,0.21988505747126436,2.1358853604576806,2.221995919655109
0.1968181818181818,0.2,2.1913746885819867,2.2451967330362606,6.0,0.24818181818181817,0.23091954022988506,2.1523450643366036,2.2054162010105176,0.2559090909090909,0.22114942528735632,2.1481179211356425,2.214379473171015,0.24954545454545454,0.23919540229885058,2.1543804238059305,2.1955639550877715
0.22227272727272726,0.2006896551724138,2.191197222796353,2.24727994348811,7.0,0.24409090909090908,0.2435632183908046,2.150645247372714,2.1895858632010974,0.255,0.22241379310344828,2.1424198497425424,2.208406071060005,0.2559090909090909,0.24597701149425288,2.1524746218594637,2.179499095829054
0.22363636363636363,0.21126436781609195,2.1800125546888873,2.2292595942267055,8.0,0.27045454545454545,0.2504597701149425,2.1341769738630814,2.1738880262703733,0.26681818181818184,0.22632183908045977,2.1330008420077236,2.2016050449459033,0.2681818181818182,0.2464367816091954,2.1222013126720083,2.1815101561053045
0.2190909090909091,0.20988505747126437,2.1892177339033645,2.2351359183212804,9.0,0.2722727272727273,0.24747126436781608,2.1027255006269976,2.167277296548602,0.2609090909090909,0.23758620689655172,2.131672052903609,2.188253738359473,0.2881818181818182,0.24482758620689654,2.1159711881117387,2.174015180763157
0.22318181818181818,0.21068965517241378,2.1780127993496983,2.229377680372918,10.0,0.2718181818181818,0.25942528735632187,2.0990818041021173,2.1585225961400174,0.27,0.24471264367816092,2.1144927380301737,2.179053152347433,0.24772727272727274,0.25103448275862067,2.164485112103549,2.1742610906184403
0.24136363636363636,0.21080459770114943,2.1529180362007834,2.230612002844098,11.0,0.23,0.2652873563218391,2.2315260817787865,2.150186363855998,0.2722727272727273,0.24574712643678162,2.112050835869529,2.171451955554129,0.3018181818181818,0.24666666666666667,2.0767117474295875,2.1686073349262105
