"Step","Depth only variation : 6 - test_loss","Depth only variation : 6 - test_loss__MIN","Depth only variation : 6 - test_loss__MAX","Depth only variation : 6 - train_loss","Depth only variation : 6 - train_loss__MIN","Depth only variation : 6 - train_loss__MAX","Depth only variation : 5 - test_loss","Depth only variation : 5 - test_loss__MIN","Depth only variation : 5 - test_loss__MAX","Depth only variation : 5 - train_loss","Depth only variation : 5 - train_loss__MIN","Depth only variation : 5 - train_loss__MAX","Depth only variation : 4 - test_loss","Depth only variation : 4 - test_loss__MIN","Depth only variation : 4 - test_loss__MAX","Depth only variation : 4 - train_loss","Depth only variation : 4 - train_loss__MIN","Depth only variation : 4 - train_loss__MAX","Depth only variation : 3 - test_loss","Depth only variation : 3 - test_loss__MIN","Depth only variation : 3 - test_loss__MAX","Depth only variation : 3 - train_loss","Depth only variation : 3 - train_loss__MIN","Depth only variation : 3 - train_loss__MAX","Depth only variation : 2 - test_loss","Depth only variation : 2 - test_loss__MIN","Depth only variation : 2 - test_loss__MAX","Depth only variation : 2 - train_loss","Depth only variation : 2 - train_loss__MIN","Depth only variation : 2 - train_loss__MAX","Depth only variation : 1 - test_loss","Depth only variation : 1 - test_loss__MIN","Depth only variation : 1 - test_loss__MAX","Depth only variation : 1 - train_loss","Depth only variation : 1 - train_loss__MIN","Depth only variation : 1 - train_loss__MAX"
"22","2.0509397862174295","2.0509397862174295","2.0509397862174295","1.8178231855370532","1.8178231855370532","1.8178231855370532","2.02559785452756","2.02559785452756","2.02559785452756","1.7881300448275161","1.7881300448275161","1.7881300448275161","2.1187837488001042","2.1187837488001042","2.1187837488001042","1.7308944336025194","1.7308944336025194","1.7308944336025194","2.1054079324548893","2.1054079324548893","2.1054079324548893","1.6989457804033126","1.6989457804033126","1.6989457804033126","2.1041341751272027","2.1041341751272027","2.1041341751272027","1.7108124745029143","1.7108124745029143","1.7108124745029143","2.1308716357838025","2.1308716357838025","2.1308716357838025","1.7667628654940375","1.7667628654940375","1.7667628654940375"
"23","2.067190322009","2.067190322009","2.067190322009","1.8136838501349264","1.8136838501349264","1.8136838501349264","2.07168608231978","2.07168608231978","2.07168608231978","1.7674852390947013","1.7674852390947013","1.7674852390947013","2.1608432856473057","2.1608432856473057","2.1608432856473057","1.7000518818559318","1.7000518818559318","1.7000518818559318","2.104213971224698","2.104213971224698","2.104213971224698","1.6963370103945676","1.6963370103945676","1.6963370103945676","2.1379001131924715","2.1379001131924715","2.1379001131924715","1.7304542470252378","1.7304542470252378","1.7304542470252378","2.1791387982801957","2.1791387982801957","2.1791387982801957","1.78342197072917","1.78342197072917","1.78342197072917"
"24","2.0325832679054954","2.0325832679054954","2.0325832679054954","1.8020620808108099","1.8020620808108099","1.8020620808108099","2.0354300390590323","2.0354300390590323","2.0354300390590323","1.7835946605397366","1.7835946605397366","1.7835946605397366","2.245673397237604","2.245673397237604","2.245673397237604","1.6581876089381076","1.6581876089381076","1.6581876089381076","2.114986330379139","2.114986330379139","2.114986330379139","1.6402189290386506","1.6402189290386506","1.6402189290386506","2.13256140795621","2.13256140795621","2.13256140795621","1.7027133629787927","1.7027133629787927","1.7027133629787927","2.188923168182373","2.188923168182373","2.188923168182373","1.7731176869074503","1.7731176869074503","1.7731176869074503"
"25","2.049122817299583","2.049122817299583","2.049122817299583","1.7725346154728154","1.7725346154728154","1.7725346154728154","2.033029899597168","2.033029899597168","2.033029899597168","1.722431271377651","1.722431271377651","1.722431271377651","2.138678900978782","2.138678900978782","2.138678900978782","1.6380709112649676","1.6380709112649676","1.6380709112649676","2.1033157604390924","2.1033157604390924","2.1033157604390924","1.6107041770562358","1.6107041770562358","1.6107041770562358","2.159879767678001","2.159879767678001","2.159879767678001","1.6827435507171455","1.6827435507171455","1.6827435507171455","2.1586069228432394","2.1586069228432394","2.1586069228432394","1.7463720759030046","1.7463720759030046","1.7463720759030046"
"26","2.1319247341156005","2.1319247341156005","2.1319247341156005","1.761730620449987","1.761730620449987","1.761730620449987","2.0748948825489393","2.0748948825489393","2.0748948825489393","1.7064787507879322","1.7064787507879322","1.7064787507879322","2.1679741304570976","2.1679741304570976","2.1679741304570976","1.632125333972361","1.632125333972361","1.632125333972361","2.177873604514382","2.177873604514382","2.177873604514382","1.5716644244906546","1.5716644244906546","1.5716644244906546","2.124349944374778","2.124349944374778","2.124349944374778","1.681338596837274","1.681338596837274","1.681338596837274","2.157112843773582","2.157112843773582","2.157112843773582","1.7241418283287135","1.7241418283287135","1.7241418283287135"
"27","2.0696787721460517","2.0696787721460517","2.0696787721460517","1.7518407708749004","1.7518407708749004","1.7518407708749004","2.100117513483221","2.100117513483221","2.100117513483221","1.684344141291476","1.684344141291476","1.684344141291476","2.1474772340601143","2.1474772340601143","2.1474772340601143","1.5718589716396112","1.5718589716396112","1.5718589716396112","2.1385492836345326","2.1385492836345326","2.1385492836345326","1.5904178487295393","1.5904178487295393","1.5904178487295393","2.1102555985884233","2.1102555985884233","2.1102555985884233","1.6354585723767336","1.6354585723767336","1.6354585723767336","2.1313009652224455","2.1313009652224455","2.1313009652224455","1.7061285146625562","1.7061285146625562","1.7061285146625562"
"28","2.1022731035405937","2.1022731035405937","2.1022731035405937","1.7292278490943471","1.7292278490943471","1.7292278490943471","2.0660293882543392","2.0660293882543392","2.0660293882543392","1.6810839662332644","1.6810839662332644","1.6810839662332644","2.1645183654264972","2.1645183654264972","2.1645183654264972","1.5822066343789813","1.5822066343789813","1.5822066343789813","2.1646059010245584","2.1646059010245584","2.1646059010245584","1.5455491754378397","1.5455491754378397","1.5455491754378397","2.149877653121948","2.149877653121948","2.149877653121948","1.6331749697389273","1.6331749697389273","1.6331749697389273","2.1755370582233775","2.1755370582233775","2.1755370582233775","1.7029189042935426","1.7029189042935426","1.7029189042935426"
"29","2.0653711024197663","2.0653711024197663","2.0653711024197663","1.6943540568187319","1.6943540568187319","1.6943540568187319","2.0743045442754573","2.0743045442754573","2.0743045442754573","1.6176519728803087","1.6176519728803087","1.6176519728803087","2.155620366009799","2.155620366009799","2.155620366009799","1.5195227176841648","1.5195227176841648","1.5195227176841648","2.2462193541093307","2.2462193541093307","2.2462193541093307","1.5232330642897507","1.5232330642897507","1.5232330642897507","2.172292248985984","2.172292248985984","2.172292248985984","1.6216775147120157","1.6216775147120157","1.6216775147120157","2.1692511653900146","2.1692511653900146","2.1692511653900146","1.6966811609268189","1.6966811609268189","1.6966811609268189"
"30","2.072865343093872","2.072865343093872","2.072865343093872","1.6808707275061772","1.6808707275061772","1.6808707275061772","2.0903843220797453","2.0903843220797453","2.0903843220797453","1.61428166405908","1.61428166405908","1.61428166405908","2.2281127882003786","2.2281127882003786","2.2281127882003786","1.4847956321431302","1.4847956321431302","1.4847956321431302","2.1727838186784223","2.1727838186784223","2.1727838186784223","1.506387136338771","1.506387136338771","1.506387136338771","2.1487870927290484","2.1487870927290484","2.1487870927290484","1.6010531258857112","1.6010531258857112","1.6010531258857112","2.1285693550109865","2.1285693550109865","2.1285693550109865","1.6550885828610125","1.6550885828610125","1.6550885828610125"
"31","2.1117499169436367","2.1117499169436367","2.1117499169436367","1.7091922263441415","1.7091922263441415","1.7091922263441415","2.145011401609941","2.145011401609941","2.145011401609941","1.5778623399515261","1.5778623399515261","1.5778623399515261","2.261498014276678","2.261498014276678","2.261498014276678","1.5036504300435385","1.5036504300435385","1.5036504300435385","2.1709186710010875","2.1709186710010875","2.1709186710010875","1.4780082698252008","1.4780082698252008","1.4780082698252008","2.151946618340232","2.151946618340232","2.151946618340232","1.5520036519258873","1.5520036519258873","1.5520036519258873","2.243123556917364","2.243123556917364","2.243123556917364","1.6720223763893391","1.6720223763893391","1.6720223763893391"
"32","2.088982027227228","2.088982027227228","2.088982027227228","1.6348902911701422","1.6348902911701422","1.6348902911701422","2.1352723624489522","2.1352723624489522","2.1352723624489522","1.557974544009943","1.557974544009943","1.557974544009943","2.211406707763672","2.211406707763672","2.211406707763672","1.4477353918689422","1.4477353918689422","1.4477353918689422","2.197489884116433","2.197489884116433","2.197489884116433","1.434362129288158","1.434362129288158","1.434362129288158","2.1528573669086803","2.1528573669086803","2.1528573669086803","1.528519775785249","1.528519775785249","1.528519775785249","2.1834894691814077","2.1834894691814077","2.1834894691814077","1.6654436616787964","1.6654436616787964","1.6654436616787964"
"33","2.1110950539328837","2.1110950539328837","2.1110950539328837","1.625869592962594","1.625869592962594","1.625869592962594","2.154767633784901","2.154767633784901","2.154767633784901","1.5137197167297889","1.5137197167297889","1.5137197167297889","2.1862245013497095","2.1862245013497095","2.1862245013497095","1.4399094966362262","1.4399094966362262","1.4399094966362262","2.166029103019021","2.166029103019021","2.166029103019021","1.4194548177171027","1.4194548177171027","1.4194548177171027","2.17324913631786","2.17324913631786","2.17324913631786","1.5026290747763096","1.5026290747763096","1.5026290747763096","2.1676476591283627","2.1676476591283627","2.1676476591283627","1.6394938978655584","1.6394938978655584","1.6394938978655584"
"34","2.1266865314136854","2.1266865314136854","2.1266865314136854","1.615247184216291","1.615247184216291","1.615247184216291","2.208487365029075","2.208487365029075","2.208487365029075","1.5107298916783827","1.5107298916783827","1.5107298916783827","2.299127602143721","2.299127602143721","2.299127602143721","1.362066277854744","1.362066277854744","1.362066277854744","2.2320956247503108","2.2320956247503108","2.2320956247503108","1.3507513341684452","1.3507513341684452","1.3507513341684452","2.177125539779663","2.177125539779663","2.177125539779663","1.5257422640679896","1.5257422640679896","1.5257422640679896","2.2017504596710205","2.2017504596710205","2.2017504596710205","1.611755862181214","1.611755862181214","1.611755862181214"
"35","2.1664408605748955","2.1664408605748955","2.1664408605748955","1.5766509246826172","1.5766509246826172","1.5766509246826172","2.2519748124209316","2.2519748124209316","2.2519748124209316","1.4989866725329695","1.4989866725329695","1.4989866725329695","2.2049446166645397","2.2049446166645397","2.2049446166645397","1.358212084660585","1.358212084660585","1.358212084660585","2.2605609087510543","2.2605609087510543","2.2605609087510543","1.3726417241699393","1.3726417241699393","1.3726417241699393","2.1540721442482686","2.1540721442482686","2.1540721442482686","1.4958148185686133","1.4958148185686133","1.4958148185686133","2.151082589409568","2.151082589409568","2.151082589409568","1.6150073640647975","1.6150073640647975","1.6150073640647975"
"36","2.1765134820071133","2.1765134820071133","2.1765134820071133","1.5590806712775396","1.5590806712775396","1.5590806712775396","2.217344017028809","2.217344017028809","2.217344017028809","1.4632835672093534","1.4632835672093534","1.4632835672093534","2.2624430110237816","2.2624430110237816","2.2624430110237816","1.2796135197014644","1.2796135197014644","1.2796135197014644","2.293595746647228","2.293595746647228","2.293595746647228","1.312441241713776","1.312441241713776","1.312441241713776","2.1671684967387805","2.1671684967387805","2.1671684967387805","1.4447190650852246","1.4447190650852246","1.4447190650852246","2.2133664321899413","2.2133664321899413","2.2133664321899413","1.5992994468513577","1.5992994468513577","1.5992994468513577"
