"Step","Depth only variation : 6 - test_loss","Depth only variation : 6 - test_loss__MIN","Depth only variation : 6 - test_loss__MAX","Depth only variation : 6 - train_loss","Depth only variation : 6 - train_loss__MIN","Depth only variation : 6 - train_loss__MAX","Depth only variation : 5 - test_loss","Depth only variation : 5 - test_loss__MIN","Depth only variation : 5 - test_loss__MAX","Depth only variation : 5 - train_loss","Depth only variation : 5 - train_loss__MIN","Depth only variation : 5 - train_loss__MAX","Depth only variation : 4 - test_loss","Depth only variation : 4 - test_loss__MIN","Depth only variation : 4 - test_loss__MAX","Depth only variation : 4 - train_loss","Depth only variation : 4 - train_loss__MIN","Depth only variation : 4 - train_loss__MAX","Depth only variation : 3 - test_loss","Depth only variation : 3 - test_loss__MIN","Depth only variation : 3 - test_loss__MAX","Depth only variation : 3 - train_loss","Depth only variation : 3 - train_loss__MIN","Depth only variation : 3 - train_loss__MAX","Depth only variation : 2 - test_loss","Depth only variation : 2 - test_loss__MIN","Depth only variation : 2 - test_loss__MAX","Depth only variation : 2 - train_loss","Depth only variation : 2 - train_loss__MIN","Depth only variation : 2 - train_loss__MAX","Depth only variation : 1 - test_loss","Depth only variation : 1 - test_loss__MIN","Depth only variation : 1 - test_loss__MAX","Depth only variation : 1 - train_loss","Depth only variation : 1 - train_loss__MIN","Depth only variation : 1 - train_loss__MAX","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX"
"10","2.1211713617498225","2.1211713617498225","2.1211713617498225","2.204794253864508","2.204794253864508","2.204794253864508","2.1451260592720724","2.1451260592720724","2.1451260592720724","2.205503201649107","2.205503201649107","2.205503201649107","2.116477853601629","2.116477853601629","2.116477853601629","2.2000552914060396","2.2000552914060396","2.2000552914060396","2.137131482037631","2.137131482037631","2.137131482037631","2.218855225574011","2.218855225574011","2.218855225574011","2.1160819244384768","2.1160819244384768","2.1160819244384768","2.2228505223372887","2.2228505223372887","2.2228505223372887","2.179863338470459","2.179863338470459","2.179863338470459","2.269675672684593","2.269675672684593","2.269675672684593","2.1148824752460826","2.1148824752460826","2.1148824752460826","2.2005072638632237","2.2005072638632237","2.2005072638632237","2.1213325231725517","2.1213325231725517","2.1213325231725517","2.2179359957815588","2.2179359957815588","2.2179359957815588","2.141751581538807","2.141751581538807","2.141751581538807","2.2302817066236473","2.2302817066236473","2.2302817066236473","2.1486202335357665","2.1486202335357665","2.1486202335357665","2.2193390094274763","2.2193390094274763","2.2193390094274763"
"11","2.153697517568415","2.153697517568415","2.153697517568415","2.195315782612768","2.195315782612768","2.195315782612768","2.114776668548584","2.114776668548584","2.114776668548584","2.1963044395666014","2.1963044395666014","2.1963044395666014","2.100195830085061","2.100195830085061","2.100195830085061","2.192814591067961","2.192814591067961","2.192814591067961","2.1239095679196445","2.1239095679196445","2.1239095679196445","2.198915388721159","2.198915388721159","2.198915388721159","2.138133577000011","2.138133577000011","2.138133577000011","2.2093444059086944","2.2093444059086944","2.2093444059086944","2.1557385340603914","2.1557385340603914","2.1557385340603914","2.2560699165826557","2.2560699165826557","2.2560699165826557","2.11625562581149","2.11625562581149","2.11625562581149","2.2010190517600927","2.2010190517600927","2.2010190517600927","2.1256463449651544","2.1256463449651544","2.1256463449651544","2.22725906821503","2.22725906821503","2.22725906821503","2.1353673856908624","2.1353673856908624","2.1353673856908624","2.2151702372233073","2.2151702372233073","2.2151702372233073","2.1223249062624845","2.1223249062624845","2.1223249062624845","2.2129732559467183","2.2129732559467183","2.2129732559467183"
"12","2.1209212051738393","2.1209212051738393","2.1209212051738393","2.200388390442421","2.200388390442421","2.200388390442421","2.1193988141146574","2.1193988141146574","2.1193988141146574","2.1900897347241983","2.1900897347241983","2.1900897347241983","2.118070507916537","2.118070507916537","2.118070507916537","2.2005173469411914","2.2005173469411914","2.2005173469411914","2.107297532341697","2.107297532341697","2.107297532341697","2.1942247714119394","2.1942247714119394","2.1942247714119394","2.142948865890503","2.142948865890503","2.142948865890503","2.2151016246313335","2.2151016246313335","2.2151016246313335","2.151679195057262","2.151679195057262","2.151679195057262","2.2430510109868544","2.2430510109868544","2.2430510109868544","2.106176133589311","2.106176133589311","2.106176133589311","2.1989893846402224","2.1989893846402224","2.1989893846402224","2.1424656235088","2.1424656235088","2.1424656235088","2.2113042825940012","2.2113042825940012","2.2113042825940012","2.1239238400892777","2.1239238400892777","2.1239238400892777","2.2117842760853383","2.2117842760853383","2.2117842760853383","2.1221465483578767","2.1221465483578767","2.1221465483578767","2.21011570733169","2.21011570733169","2.21011570733169"
"13","2.1214159046519887","2.1214159046519887","2.1214159046519887","2.194945666872222","2.194945666872222","2.194945666872222","2.1171204670992765","2.1171204670992765","2.1171204670992765","2.1984062442560304","2.1984062442560304","2.1984062442560304","2.0906318560513584","2.0906318560513584","2.0906318560513584","2.1900251556264942","2.1900251556264942","2.1900251556264942","2.1033882860703903","2.1033882860703903","2.1033882860703903","2.1946717580159505","2.1946717580159505","2.1946717580159505","2.1516291106830945","2.1516291106830945","2.1516291106830945","2.2146827952067056","2.2146827952067056","2.2146827952067056","2.1489784336090088","2.1489784336090088","2.1489784336090088","2.2760259426599263","2.2760259426599263","2.2760259426599263","2.132197124307806","2.132197124307806","2.132197124307806","2.18758587026048","2.18758587026048","2.18758587026048","2.145190645564686","2.145190645564686","2.145190645564686","2.199838463465373","2.199838463465373","2.199838463465373","2.1067782818187366","2.1067782818187366","2.1067782818187366","2.208597055084404","2.208597055084404","2.208597055084404","2.144311524304477","2.144311524304477","2.144311524304477","2.198062757075518","2.198062757075518","2.198062757075518"
"14","2.1067073796012186","2.1067073796012186","2.1067073796012186","2.1872048033791027","2.1872048033791027","2.1872048033791027","2.119610098925504","2.119610098925504","2.119610098925504","2.1966872376409072","2.1966872376409072","2.1966872376409072","2.094025839892301","2.094025839892301","2.094025839892301","2.1778482760506113","2.1778482760506113","2.1778482760506113","2.1075765323638915","2.1075765323638915","2.1075765323638915","2.1957173437359687","2.1957173437359687","2.1957173437359687","2.124308098012751","2.124308098012751","2.124308098012751","2.2119269542036384","2.2119269542036384","2.2119269542036384","2.1629020925001665","2.1629020925001665","2.1629020925001665","2.256831438349581","2.256831438349581","2.256831438349581","2.1453171773390336","2.1453171773390336","2.1453171773390336","2.2048681748050383","2.2048681748050383","2.2048681748050383","2.1405020219629463","2.1405020219629463","2.1405020219629463","2.204879706262172","2.204879706262172","2.204879706262172","2.116597316048362","2.116597316048362","2.116597316048362","2.198670426401599","2.198670426401599","2.198670426401599","2.120498059012673","2.120498059012673","2.120498059012673","2.2215453188446745","2.2215453188446745","2.2215453188446745"
"15","2.0960964627699417","2.0960964627699417","2.0960964627699417","2.18766646911358","2.18766646911358","2.18766646911358","2.115531518242576","2.115531518242576","2.115531518242576","2.189099366637482","2.189099366637482","2.189099366637482","2.092372340289029","2.092372340289029","2.092372340289029","2.1837970292979274","2.1837970292979274","2.1837970292979274","2.1265461869673294","2.1265461869673294","2.1265461869673294","2.187309324220679","2.187309324220679","2.187309324220679","2.109184415990656","2.109184415990656","2.109184415990656","2.2079322497049967","2.2079322497049967","2.2079322497049967","2.171910035393455","2.171910035393455","2.171910035393455","2.2386239638273744","2.2386239638273744","2.2386239638273744","2.1110686683654785","2.1110686683654785","2.1110686683654785","2.1933863363594845","2.1933863363594845","2.1933863363594845","2.120892572402954","2.120892572402954","2.120892572402954","2.197145217369343","2.197145217369343","2.197145217369343","2.1279239325089887","2.1279239325089887","2.1279239325089887","2.2072012945153245","2.2072012945153245","2.2072012945153245","2.1193344168229538","2.1193344168229538","2.1193344168229538","2.2305088588013047","2.2305088588013047","2.2305088588013047"
"16","2.1129869799180465","2.1129869799180465","2.1129869799180465","2.176669930973272","2.176669930973272","2.176669930973272","2.090549463792281","2.090549463792281","2.090549463792281","2.175308883381986","2.175308883381986","2.175308883381986","2.103576672293923","2.103576672293923","2.103576672293923","2.1788704150846634","2.1788704150846634","2.1788704150846634","2.1319633995402945","2.1319633995402945","2.1319633995402945","2.1910950330756176","2.1910950330756176","2.1910950330756176","2.1276853570071133","2.1276853570071133","2.1276853570071133","2.2083546527774853","2.2083546527774853","2.2083546527774853","2.127773883125999","2.127773883125999","2.127773883125999","2.244522135942832","2.244522135942832","2.244522135942832","2.0993352885679766","2.0993352885679766","2.0993352885679766","2.1985613358157803","2.1985613358157803","2.1985613358157803","2.115803995999423","2.115803995999423","2.115803995999423","2.201576388896197","2.201576388896197","2.201576388896197","2.1006667388569227","2.1006667388569227","2.1006667388569227","2.193894553787407","2.193894553787407","2.193894553787407","2.1164318067377264","2.1164318067377264","2.1164318067377264","2.2114919423508916","2.2114919423508916","2.2114919423508916"
"17","2.1064441741596567","2.1064441741596567","2.1064441741596567","2.174279958790746","2.174279958790746","2.174279958790746","2.0910764668204567","2.0910764668204567","2.0910764668204567","2.181229194663037","2.181229194663037","2.181229194663037","2.0947913265228273","2.0947913265228273","2.0947913265228273","2.1733876187773955","2.1733876187773955","2.1733876187773955","2.098035441311923","2.098035441311923","2.098035441311923","2.1892677551576463","2.1892677551576463","2.1892677551576463","2.1217560221932152","2.1217560221932152","2.1217560221932152","2.200542133813617","2.200542133813617","2.200542133813617","2.1419117199290882","2.1419117199290882","2.1419117199290882","2.2450215556703763","2.2450215556703763","2.2450215556703763","2.122041132666848","2.122041132666848","2.122041132666848","2.1979082014368867","2.1979082014368867","2.1979082014368867","2.154690547422929","2.154690547422929","2.154690547422929","2.1949247033568633","2.1949247033568633","2.1949247033568633","2.119076991514726","2.119076991514726","2.119076991514726","2.197739974931739","2.197739974931739","2.197739974931739","2.1131138081984084","2.1131138081984084","2.1131138081984084","2.2034874775765956","2.2034874775765956","2.2034874775765956"
"18","2.1004141417416657","2.1004141417416657","2.1004141417416657","2.186340230963696","2.186340230963696","2.186340230963696","2.096330665241588","2.096330665241588","2.096330665241588","2.1733571458136898","2.1733571458136898","2.1733571458136898","2.094126506285234","2.094126506285234","2.094126506285234","2.179728358586629","2.179728358586629","2.179728358586629","2.0994859114560214","2.0994859114560214","2.0994859114560214","2.181310540232165","2.181310540232165","2.181310540232165","2.1183005879142067","2.1183005879142067","2.1183005879142067","2.19525428804858","2.19525428804858","2.19525428804858","2.1918610269373113","2.1918610269373113","2.1918610269373113","2.239582449047045","2.239582449047045","2.239582449047045","2.119524607224898","2.119524607224898","2.119524607224898","2.1844787437614355","2.1844787437614355","2.1844787437614355","2.096060741597956","2.096060741597956","2.096060741597956","2.1876489493490636","2.1876489493490636","2.1876489493490636","2.120813046368686","2.120813046368686","2.120813046368686","2.1935419035505976","2.1935419035505976","2.1935419035505976","2.1267820939150726","2.1267820939150726","2.1267820939150726","2.196990793929703","2.196990793929703","2.196990793929703"
"19","2.1012240262465043","2.1012240262465043","2.1012240262465043","2.1782891949839978","2.1782891949839978","2.1782891949839978","2.093543644818393","2.093543644818393","2.093543644818393","2.1715599176253395","2.1715599176253395","2.1715599176253395","2.0970063235542993","2.0970063235542993","2.0970063235542993","2.169565629411018","2.169565629411018","2.169565629411018","2.108242528221824","2.108242528221824","2.108242528221824","2.1907896515418743","2.1907896515418743","2.1907896515418743","2.110719889727506","2.110719889727506","2.110719889727506","2.2107822124437355","2.2107822124437355","2.2107822124437355","2.1174751073663884","2.1174751073663884","2.1174751073663884","2.2464210067398245","2.2464210067398245","2.2464210067398245","2.1100504849173807","2.1100504849173807","2.1100504849173807","2.186860980658696","2.186860980658696","2.186860980658696","2.122082648710771","2.122082648710771","2.122082648710771","2.197551147526708","2.197551147526708","2.197551147526708","2.1307471483403986","2.1307471483403986","2.1307471483403986","2.199877578033798","2.199877578033798","2.199877578033798","2.111471675526012","2.111471675526012","2.111471675526012","2.1936703650156657","2.1936703650156657","2.1936703650156657"
