"Step","LeNet - test_accuracy","LeNet - test_accuracy__MIN","LeNet - test_accuracy__MAX","LeNet - train_accuracy","LeNet - train_accuracy__MIN","LeNet - train_accuracy__MAX"
"18","0.26","0.26","0.26","0.23344827586206895","0.23344827586206895","0.23344827586206895"
"19","0.2586363636363636","0.2586363636363636","0.2586363636363636","0.2367816091954023","0.2367816091954023","0.2367816091954023"
"20","0.2631818181818182","0.2631818181818182","0.2631818181818182","0.2335632183908046","0.2335632183908046","0.2335632183908046"
"21","0.26","0.26","0.26","0.24275862068965517","0.24275862068965517","0.24275862068965517"
"22","0.2631818181818182","0.2631818181818182","0.2631818181818182","0.23551724137931035","0.23551724137931035","0.23551724137931035"
"23","0.25545454545454543","0.25545454545454543","0.25545454545454543","0.24057471264367816","0.24057471264367816","0.24057471264367816"
"24","0.2586363636363636","0.2586363636363636","0.2586363636363636","0.23977011494252873","0.23977011494252873","0.23977011494252873"
"25","0.2540909090909091","0.2540909090909091","0.2540909090909091","0.2425287356321839","0.2425287356321839","0.2425287356321839"
"26","0.2595454545454545","0.2595454545454545","0.2595454545454545","0.2367816091954023","0.2367816091954023","0.2367816091954023"
"27","0.2631818181818182","0.2631818181818182","0.2631818181818182","0.24022988505747125","0.24022988505747125","0.24022988505747125"
"28","0.2686363636363636","0.2686363636363636","0.2686363636363636","0.24666666666666667","0.24666666666666667","0.24666666666666667"
"29","0.2681818181818182","0.2681818181818182","0.2681818181818182","0.24206896551724139","0.24206896551724139","0.24206896551724139"
"30","0.2640909090909091","0.2640909090909091","0.2640909090909091","0.24160919540229886","0.24160919540229886","0.24160919540229886"
"31","0.2586363636363636","0.2586363636363636","0.2586363636363636","0.2464367816091954","0.2464367816091954","0.2464367816091954"
"32","0.2586363636363636","0.2586363636363636","0.2586363636363636","0.24402298850574713","0.24402298850574713","0.24402298850574713"
"33","0.2790909090909091","0.2790909090909091","0.2790909090909091","0.24586206896551724","0.24586206896551724","0.24586206896551724"
"34","0.26590909090909093","0.26590909090909093","0.26590909090909093","0.2493103448275862","0.2493103448275862","0.2493103448275862"
"35","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.25655172413793104","0.25655172413793104","0.25655172413793104"
"36","0.2672727272727273","0.2672727272727273","0.2672727272727273","0.24586206896551724","0.24586206896551724","0.24586206896551724"
"37","0.2581818181818182","0.2581818181818182","0.2581818181818182","0.25448275862068964","0.25448275862068964","0.25448275862068964"
"38","0.26136363636363635","0.26136363636363635","0.26136363636363635","0.24724137931034482","0.24724137931034482","0.24724137931034482"
"39","0.2740909090909091","0.2740909090909091","0.2740909090909091","0.25482758620689655","0.25482758620689655","0.25482758620689655"
