"Step","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX","Width only variation : 128 - test_loss","Width only variation : 128 - test_loss__MIN","Width only variation : 128 - test_loss__MAX","Width only variation : 128 - train_loss","Width only variation : 128 - train_loss__MIN","Width only variation : 128 - train_loss__MAX","Width only variation : 64 - test_loss","Width only variation : 64 - test_loss__MIN","Width only variation : 64 - test_loss__MAX","Width only variation : 64 - train_loss","Width only variation : 64 - train_loss__MIN","Width only variation : 64 - train_loss__MAX","Width only variation : 32 - test_loss","Width only variation : 32 - test_loss__MIN","Width only variation : 32 - test_loss__MAX","Width only variation : 32 - train_loss","Width only variation : 32 - train_loss__MIN","Width only variation : 32 - train_loss__MAX"
"0","2.29817232912237","2.29817232912237","2.29817232912237","3.2519538529713947","3.2519538529713947","3.2519538529713947","2.2994967582009056","2.2994967582009056","2.2994967582009056","2.705390847195154","2.705390847195154","2.705390847195154","2.2678393190557307","2.2678393190557307","2.2678393190557307","2.483134636714541","2.483134636714541","2.483134636714541","2.250182964151556","2.250182964151556","2.250182964151556","2.426481544341164","2.426481544341164","2.426481544341164","2.3029668964039196","2.3029668964039196","2.3029668964039196","2.442292154684834","2.442292154684834","2.442292154684834","2.399491528597745","2.399491528597745","2.399491528597745","2.447904074000216","2.447904074000216","2.447904074000216","2.3619491429762407","2.3619491429762407","2.3619491429762407","2.4363193373844543","2.4363193373844543","2.4363193373844543"
"1","2.207236962751909","2.207236962751909","2.207236962751909","2.318782160199922","2.318782160199922","2.318782160199922","2.2242487543279474","2.2242487543279474","2.2242487543279474","2.3218956645877884","2.3218956645877884","2.3218956645877884","2.2216801998832008","2.2216801998832008","2.2216801998832008","2.318715661695634","2.318715661695634","2.318715661695634","2.205212096300992","2.205212096300992","2.205212096300992","2.293942179844297","2.293942179844297","2.293942179844297","2.2298197477514092","2.2298197477514092","2.2298197477514092","2.316381297714409","2.316381297714409","2.316381297714409","2.3836964494531805","2.3836964494531805","2.3836964494531805","2.3956646750439172","2.3956646750439172","2.3956646750439172","2.324527706666426","2.324527706666426","2.324527706666426","2.358912568476008","2.358912568476008","2.358912568476008"
"2","2.195560132806951","2.195560132806951","2.195560132806951","2.3001721060961144","2.3001721060961144","2.3001721060961144","2.176441429311579","2.176441429311579","2.176441429311579","2.289387122296739","2.289387122296739","2.289387122296739","2.240618800683455","2.240618800683455","2.240618800683455","2.2853293485751096","2.2853293485751096","2.2853293485751096","2.232046133821661","2.232046133821661","2.232046133821661","2.273893124262492","2.273893124262492","2.273893124262492","2.225522065596147","2.225522065596147","2.225522065596147","2.288478767131937","2.288478767131937","2.288478767131937","2.371396561535922","2.371396561535922","2.371396561535922","2.3833357823032073","2.3833357823032073","2.3833357823032073","2.289195886958729","2.289195886958729","2.289195886958729","2.3409095714832175","2.3409095714832175","2.3409095714832175"
"3","2.176270926215432","2.176270926215432","2.176270926215432","2.2724863908482695","2.2724863908482695","2.2724863908482695","2.211548478820107","2.211548478820107","2.211548478820107","2.280968715295024","2.280968715295024","2.280968715295024","2.1721228244087913","2.1721228244087913","2.1721228244087913","2.2693938825322295","2.2693938825322295","2.2693938825322295","2.239133464639837","2.239133464639837","2.239133464639837","2.274326405689634","2.274326405689634","2.274326405689634","2.176497864289717","2.176497864289717","2.176497864289717","2.2783327000716636","2.2783327000716636","2.2783327000716636","2.3681337157162754","2.3681337157162754","2.3681337157162754","2.376716171571578","2.376716171571578","2.376716171571578","2.2581983921744606","2.2581983921744606","2.2581983921744606","2.327569468925739","2.327569468925739","2.327569468925739"
"4","2.1797341580824416","2.1797341580824416","2.1797341580824416","2.2605188085841035","2.2605188085841035","2.2605188085841035","2.199358815279874","2.199358815279874","2.199358815279874","2.2703354380596643","2.2703354380596643","2.2703354380596643","2.1767347448522396","2.1767347448522396","2.1767347448522396","2.251869472854439","2.251869472854439","2.251869472854439","2.178717572472312","2.178717572472312","2.178717572472312","2.2767839744173246","2.2767839744173246","2.2767839744173246","2.18409009326588","2.18409009326588","2.18409009326588","2.2626266167081637","2.2626266167081637","2.2626266167081637","2.3517096874930643","2.3517096874930643","2.3517096874930643","2.3684436820019252","2.3684436820019252","2.3684436820019252","2.2930054378509523","2.2930054378509523","2.2930054378509523","2.3017209602224415","2.3017209602224415","2.3017209602224415"
"5","2.174939449483698","2.174939449483698","2.174939449483698","2.246730361039611","2.246730361039611","2.246730361039611","2.1663189523870297","2.1663189523870297","2.1663189523870297","2.2579400378260117","2.2579400378260117","2.2579400378260117","2.1660258293151857","2.1660258293151857","2.1660258293151857","2.2437623598383762","2.2437623598383762","2.2437623598383762","2.199237085689198","2.199237085689198","2.199237085689198","2.2491271005827804","2.2491271005827804","2.2491271005827804","2.1560850030725653","2.1560850030725653","2.1560850030725653","2.256838258984445","2.256838258984445","2.256838258984445","2.3501479053497314","2.3501479053497314","2.3501479053497314","2.3626031553334204","2.3626031553334204","2.3626031553334204","2.223304329785434","2.223304329785434","2.223304329785434","2.2884607078289165","2.2884607078289165","2.2884607078289165"
"6","2.1588053382526744","2.1588053382526744","2.1588053382526744","2.2448045811707944","2.2448045811707944","2.2448045811707944","2.1782779858329078","2.1782779858329078","2.1782779858329078","2.2587637857459057","2.2587637857459057","2.2587637857459057","2.159510992223566","2.159510992223566","2.159510992223566","2.2495378245430433","2.2495378245430433","2.2495378245430433","2.1535245418548583","2.1535245418548583","2.1535245418548583","2.2610079231481444","2.2610079231481444","2.2610079231481444","2.163547649383545","2.163547649383545","2.163547649383545","2.2454927708636756","2.2454927708636756","2.2454927708636756","2.34097636829723","2.34097636829723","2.34097636829723","2.359499725582956","2.359499725582956","2.359499725582956","2.233113096410578","2.233113096410578","2.233113096410578","2.282610474948225","2.282610474948225","2.282610474948225"
"7","2.182920530492609","2.182920530492609","2.182920530492609","2.224124652380231","2.224124652380231","2.224124652380231","2.1755008029937746","2.1755008029937746","2.1755008029937746","2.241706847815678","2.241706847815678","2.241706847815678","2.1640077807686544","2.1640077807686544","2.1640077807686544","2.2349377323019093","2.2349377323019093","2.2349377323019093","2.1428028392791747","2.1428028392791747","2.1428028392791747","2.2510272274894274","2.2510272274894274","2.2510272274894274","2.1466874755512584","2.1466874755512584","2.1466874755512584","2.2403726152441967","2.2403726152441967","2.2403726152441967","2.336775185845115","2.336775185845115","2.336775185845115","2.3546473309089397","2.3546473309089397","2.3546473309089397","2.187106200131503","2.187106200131503","2.187106200131503","2.2792863139886967","2.2792863139886967","2.2792863139886967"
"8","2.133381318179044","2.133381318179044","2.133381318179044","2.226846984337116","2.226846984337116","2.226846984337116","2.1347786270488394","2.1347786270488394","2.1347786270488394","2.22473028106251","2.22473028106251","2.22473028106251","2.1231270746751263","2.1231270746751263","2.1231270746751263","2.2341088197423122","2.2341088197423122","2.2341088197423122","2.1548719024658203","2.1548719024658203","2.1548719024658203","2.2107730622127137","2.2107730622127137","2.2107730622127137","2.146293531764637","2.146293531764637","2.146293531764637","2.233299856624384","2.233299856624384","2.233299856624384","2.3333771870353006","2.3333771870353006","2.3333771870353006","2.3526940443323947","2.3526940443323947","2.3526940443323947","2.1875443519245494","2.1875443519245494","2.1875443519245494","2.2676692774103975","2.2676692774103975","2.2676692774103975"
"9","2.136214708848433","2.136214708848433","2.136214708848433","2.214957518084296","2.214957518084296","2.214957518084296","2.1279710821671918","2.1279710821671918","2.1279710821671918","2.22752376096002","2.22752376096002","2.22752376096002","2.1547568928111684","2.1547568928111684","2.1547568928111684","2.2159561554042773","2.2159561554042773","2.2159561554042773","2.15390747200359","2.15390747200359","2.15390747200359","2.2292494515166887","2.2292494515166887","2.2292494515166887","2.16473070231351","2.16473070231351","2.16473070231351","2.240277792831947","2.240277792831947","2.240277792831947","2.334560190547596","2.334560190547596","2.334560190547596","2.3461701859002826","2.3461701859002826","2.3461701859002826","2.1789246715198862","2.1789246715198862","2.1789246715198862","2.2574902072994187","2.2574902072994187","2.2574902072994187"
