"Step","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX","Width only variation : 128 - test_loss","Width only variation : 128 - test_loss__MIN","Width only variation : 128 - test_loss__MAX","Width only variation : 128 - train_loss","Width only variation : 128 - train_loss__MIN","Width only variation : 128 - train_loss__MAX","Width only variation : 64 - test_loss","Width only variation : 64 - test_loss__MIN","Width only variation : 64 - test_loss__MAX","Width only variation : 64 - train_loss","Width only variation : 64 - train_loss__MIN","Width only variation : 64 - train_loss__MAX","Width only variation : 32 - test_loss","Width only variation : 32 - test_loss__MIN","Width only variation : 32 - test_loss__MAX","Width only variation : 32 - train_loss","Width only variation : 32 - train_loss__MIN","Width only variation : 32 - train_loss__MAX"
"10","2.060216727690263","2.060216727690263","2.060216727690263","1.9381026318977619","1.9381026318977619","1.9381026318977619","2.056567112315785","2.056567112315785","2.056567112315785","1.9087916010823742","1.9087916010823742","1.9087916010823742","2.0569749996878883","2.0569749996878883","2.0569749996878883","1.9349405394477406","1.9349405394477406","1.9349405394477406","2.0853991343758325","2.0853991343758325","2.0853991343758325","1.9184125132944392","1.9184125132944392","1.9184125132944392","2.0678485211459074","2.0678485211459074","2.0678485211459074","1.999851253443751","1.999851253443751","1.999851253443751","2.1520582155747845","2.1520582155747845","2.1520582155747845","2.1264406357688466","2.1264406357688466","2.1264406357688466","2.234949632991444","2.234949632991444","2.234949632991444","2.2238174492189255","2.2238174492189255","2.2238174492189255"
"11","2.0767302487113257","2.0767302487113257","2.0767302487113257","1.913615097451484","1.913615097451484","1.913615097451484","2.077041645483537","2.077041645483537","2.077041645483537","1.8991387169936607","1.8991387169936607","1.8991387169936607","2.0822324934872714","2.0822324934872714","2.0822324934872714","1.9224839581018207","1.9224839581018207","1.9224839581018207","2.108188772201538","2.108188772201538","2.108188772201538","1.9321311587848882","1.9321311587848882","1.9321311587848882","2.0658493302085184","2.0658493302085184","2.0658493302085184","1.9917109707580216","1.9917109707580216","1.9917109707580216","2.1479834114421497","2.1479834114421497","2.1479834114421497","2.12136010553645","2.12136010553645","2.12136010553645","2.235047165263783","2.235047165263783","2.235047165263783","2.209231695306712","2.209231695306712","2.209231695306712"
"12","2.1208069411191075","2.1208069411191075","2.1208069411191075","1.8952801308138618","1.8952801308138618","1.8952801308138618","2.0849759604714135","2.0849759604714135","2.0849759604714135","1.867292461230837","1.867292461230837","1.867292461230837","2.068128997629339","2.068128997629339","2.068128997629339","1.8928643121938595","1.8928643121938595","1.8928643121938595","2.070035923177546","2.070035923177546","2.070035923177546","1.9200782510055894","1.9200782510055894","1.9200782510055894","2.060583103353327","2.060583103353327","2.060583103353327","1.9713750757020094","1.9713750757020094","1.9713750757020094","2.1413668909939854","2.1413668909939854","2.1413668909939854","2.108367112806474","2.108367112806474","2.108367112806474","2.2241669741543855","2.2241669741543855","2.2241669741543855","2.1994135217557007","2.1994135217557007","2.1994135217557007"
"13","2.079587784680453","2.079587784680453","2.079587784680453","1.8786585605007478","1.8786585605007478","1.8786585605007478","2.0927287769317626","2.0927287769317626","2.0927287769317626","1.8372682056755856","1.8372682056755856","1.8372682056755856","2.057070717378096","2.057070717378096","2.057070717378096","1.8459060192108154","1.8459060192108154","1.8459060192108154","2.0539973917874423","2.0539973917874423","2.0539973917874423","1.8852912753203819","1.8852912753203819","1.8852912753203819","2.0641282879222524","2.0641282879222524","2.0641282879222524","1.9687668080713556","1.9687668080713556","1.9687668080713556","2.1404907876794987","2.1404907876794987","2.1404907876794987","2.1015485909341396","2.1015485909341396","2.1015485909341396","2.216418149254539","2.216418149254539","2.216418149254539","2.1880505533328","2.1880505533328","2.1880505533328"
"14","2.0828242726759476","2.0828242726759476","2.0828242726759476","1.8343787325387713","1.8343787325387713","1.8343787325387713","2.081677850376476","2.081677850376476","2.081677850376476","1.8114697043649082","1.8114697043649082","1.8114697043649082","2.100222823403098","2.100222823403098","2.100222823403098","1.838914947729001","1.838914947729001","1.838914947729001","2.069691186384721","2.069691186384721","2.069691186384721","1.882229808281208","1.882229808281208","1.882229808281208","2.064805396686901","2.064805396686901","2.064805396686901","1.9657665968489373","1.9657665968489373","1.9657665968489373","2.14232213713906","2.14232213713906","2.14232213713906","2.0953720142101417","2.0953720142101417","2.0953720142101417","2.2055712977322663","2.2055712977322663","2.2055712977322663","2.178541461023791","2.178541461023791","2.178541461023791"
"15","2.095644292831421","2.095644292831421","2.095644292831421","1.8163349526503991","1.8163349526503991","1.8163349526503991","2.1387281270460647","2.1387281270460647","2.1387281270460647","1.7985817918558231","1.7985817918558231","1.7985817918558231","2.080754157846624","2.080754157846624","2.080754157846624","1.8127832286659329","1.8127832286659329","1.8127832286659329","2.10517446084456","2.10517446084456","2.10517446084456","1.8663247482255958","1.8663247482255958","1.8663247482255958","2.0627225971221925","2.0627225971221925","2.0627225971221925","1.9542994774347064","1.9542994774347064","1.9542994774347064","2.134994677630338","2.134994677630338","2.134994677630338","2.097510701431625","2.097510701431625","2.097510701431625","2.2301802279732446","2.2301802279732446","2.2301802279732446","2.1733441121550814","2.1733441121550814","2.1733441121550814"
"16","2.1035379661213267","2.1035379661213267","2.1035379661213267","1.7889186427785062","1.7889186427785062","1.7889186427785062","2.09476130138744","2.09476130138744","2.09476130138744","1.7886151467246572","1.7886151467246572","1.7886151467246572","2.0717228239232846","2.0717228239232846","2.0717228239232846","1.7970790596117918","1.7970790596117918","1.7970790596117918","2.086322889328003","2.086322889328003","2.086322889328003","1.858871318608865","1.858871318608865","1.858871318608865","2.0755469105460427","2.0755469105460427","2.0755469105460427","1.9275830231589832","1.9275830231589832","1.9275830231589832","2.1323414117639716","2.1323414117639716","2.1323414117639716","2.091262017502182","2.091262017502182","2.091262017502182","2.200614145452326","2.200614145452326","2.200614145452326","2.164497148908418","2.164497148908418","2.164497148908418"
"17","2.0631489138169723","2.0631489138169723","2.0631489138169723","1.7535991246124794","1.7535991246124794","1.7535991246124794","2.1563777177984065","2.1563777177984065","2.1563777177984065","1.7704191382177945","1.7704191382177945","1.7704191382177945","2.17657021782615","2.17657021782615","2.17657021782615","1.7831711571792077","1.7831711571792077","1.7831711571792077","2.077914452119307","2.077914452119307","2.077914452119307","1.8338496155574404","1.8338496155574404","1.8338496155574404","2.046453534039584","2.046453534039584","2.046453534039584","1.9217652697398744","1.9217652697398744","1.9217652697398744","2.1453182610598476","2.1453182610598476","2.1453182610598476","2.082455777793095","2.082455777793095","2.082455777793095","2.1890723219784824","2.1890723219784824","2.1890723219784824","2.147201919555664","2.147201919555664","2.147201919555664"
"18","2.1755865712599323","2.1755865712599323","2.1755865712599323","1.7421937714499989","1.7421937714499989","1.7421937714499989","2.1175425269386987","2.1175425269386987","2.1175425269386987","1.7359646072606931","1.7359646072606931","1.7359646072606931","2.0865365747971967","2.0865365747971967","2.0865365747971967","1.8153704450322294","1.8153704450322294","1.8153704450322294","2.1070558270541104","2.1070558270541104","2.1070558270541104","1.805578918950311","1.805578918950311","1.805578918950311","2.0731284115531228","2.0731284115531228","2.0731284115531228","1.9119107909586237","1.9119107909586237","1.9119107909586237","2.131962581981312","2.131962581981312","2.131962581981312","2.0821108071557406","2.0821108071557406","2.0821108071557406","2.186093518517234","2.186093518517234","2.186093518517234","2.1441611094858453","2.1441611094858453","2.1441611094858453"
"19","2.1252673140439122","2.1252673140439122","2.1252673140439122","1.7183308029174804","1.7183308029174804","1.7183308029174804","2.115523803017356","2.115523803017356","2.115523803017356","1.7283409681539426","1.7283409681539426","1.7283409681539426","2.0861287931962447","2.0861287931962447","2.0861287931962447","1.7601550038655598","1.7601550038655598","1.7601550038655598","2.1330861672488126","2.1330861672488126","2.1330861672488126","1.8042099919264345","1.8042099919264345","1.8042099919264345","2.055408906069669","2.055408906069669","2.055408906069669","1.9098322148158633","1.9098322148158633","1.9098322148158633","2.1265554653514513","2.1265554653514513","2.1265554653514513","2.068924364221507","2.068924364221507","2.068924364221507","2.181237584027377","2.181237584027377","2.181237584027377","2.1312384343421322","2.1312384343421322","2.1312384343421322"
