"Step","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy__MAX"
"10","0.2431818181818182","0.2431818181818182","0.2431818181818182","0.2","0.2","0.2","0.20636363636363636","0.20636363636363636","0.20636363636363636","0.17183908045977012","0.17183908045977012","0.17183908045977012","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.18413793103448275","0.18413793103448275","0.18413793103448275","0.22863636363636364","0.22863636363636364","0.22863636363636364","0.1928735632183908","0.1928735632183908","0.1928735632183908","0.18227272727272728","0.18227272727272728","0.18227272727272728","0.16229885057471263","0.16229885057471263","0.16229885057471263","0.20727272727272728","0.20727272727272728","0.20727272727272728","0.18057471264367816","0.18057471264367816","0.18057471264367816","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.1918390804597701","0.1918390804597701","0.1918390804597701"
"11","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.2028735632183908","0.2028735632183908","0.2028735632183908","0.20727272727272728","0.20727272727272728","0.20727272727272728","0.17103448275862068","0.17103448275862068","0.17103448275862068","0.22090909090909092","0.22090909090909092","0.22090909090909092","0.195632183908046","0.195632183908046","0.195632183908046","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.2052873563218391","0.2052873563218391","0.2052873563218391","0.18181818181818182","0.18181818181818182","0.18181818181818182","0.16758620689655174","0.16758620689655174","0.16758620689655174","0.22090909090909092","0.22090909090909092","0.22090909090909092","0.1811494252873563","0.1811494252873563","0.1811494252873563","0.22045454545454546","0.22045454545454546","0.22045454545454546","0.19229885057471263","0.19229885057471263","0.19229885057471263"
"12","0.23045454545454547","0.23045454545454547","0.23045454545454547","0.1996551724137931","0.1996551724137931","0.1996551724137931","0.225","0.225","0.225","0.18091954022988505","0.18091954022988505","0.18091954022988505","0.23227272727272727","0.23227272727272727","0.23227272727272727","0.19425287356321838","0.19425287356321838","0.19425287356321838","0.21363636363636362","0.21363636363636362","0.21363636363636362","0.20689655172413793","0.20689655172413793","0.20689655172413793","0.1890909090909091","0.1890909090909091","0.1890909090909091","0.17126436781609194","0.17126436781609194","0.17126436781609194","0.21863636363636363","0.21863636363636363","0.21863636363636363","0.17988505747126438","0.17988505747126438","0.17988505747126438","0.2340909090909091","0.2340909090909091","0.2340909090909091","0.19310344827586207","0.19310344827586207","0.19310344827586207"
"13","0.23136363636363635","0.23136363636363635","0.23136363636363635","0.20954022988505747","0.20954022988505747","0.20954022988505747","0.21227272727272728","0.21227272727272728","0.21227272727272728","0.1728735632183908","0.1728735632183908","0.1728735632183908","0.24772727272727274","0.24772727272727274","0.24772727272727274","0.2028735632183908","0.2028735632183908","0.2028735632183908","0.2381818181818182","0.2381818181818182","0.2381818181818182","0.20114942528735633","0.20114942528735633","0.20114942528735633","0.2059090909090909","0.2059090909090909","0.2059090909090909","0.17402298850574713","0.17402298850574713","0.17402298850574713","0.21636363636363637","0.21636363636363637","0.21636363636363637","0.1889655172413793","0.1889655172413793","0.1889655172413793","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.19448275862068964","0.19448275862068964","0.19448275862068964"
"14","0.22818181818181818","0.22818181818181818","0.22818181818181818","0.21183908045977012","0.21183908045977012","0.21183908045977012","0.19318181818181818","0.19318181818181818","0.19318181818181818","0.18528735632183907","0.18528735632183907","0.18528735632183907","0.24409090909090908","0.24409090909090908","0.24409090909090908","0.19011494252873562","0.19011494252873562","0.19011494252873562","0.2381818181818182","0.2381818181818182","0.2381818181818182","0.20517241379310344","0.20517241379310344","0.20517241379310344","0.19363636363636363","0.19363636363636363","0.19363636363636363","0.17517241379310344","0.17517241379310344","0.17517241379310344","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.18804597701149425","0.18804597701149425","0.18804597701149425","0.23318181818181818","0.23318181818181818","0.23318181818181818","0.19827586206896552","0.19827586206896552","0.19827586206896552"
"15","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.20701149425287357","0.20701149425287357","0.20701149425287357","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.18839080459770116","0.18839080459770116","0.18839080459770116","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.19977011494252875","0.19977011494252875","0.19977011494252875","0.24227272727272728","0.24227272727272728","0.24227272727272728","0.21183908045977012","0.21183908045977012","0.21183908045977012","0.2081818181818182","0.2081818181818182","0.2081818181818182","0.17724137931034484","0.17724137931034484","0.17724137931034484","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.19436781609195403","0.19436781609195403","0.19436781609195403","0.22545454545454546","0.22545454545454546","0.22545454545454546","0.20298850574712643","0.20298850574712643","0.20298850574712643"
"16","0.255","0.255","0.255","0.2113793103448276","0.2113793103448276","0.2113793103448276","0.22","0.22","0.22","0.197816091954023","0.197816091954023","0.197816091954023","0.23772727272727273","0.23772727272727273","0.23772727272727273","0.2035632183908046","0.2035632183908046","0.2035632183908046","0.24818181818181817","0.24818181818181817","0.24818181818181817","0.20781609195402298","0.20781609195402298","0.20781609195402298","0.20045454545454544","0.20045454545454544","0.20045454545454544","0.17781609195402298","0.17781609195402298","0.17781609195402298","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.2013793103448276","0.2013793103448276","0.2013793103448276","0.24545454545454545","0.24545454545454545","0.24545454545454545","0.20057471264367815","0.20057471264367815","0.20057471264367815"
"17","0.24545454545454545","0.24545454545454545","0.24545454545454545","0.21551724137931033","0.21551724137931033","0.21551724137931033","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.18724137931034482","0.18724137931034482","0.18724137931034482","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.20862068965517241","0.20862068965517241","0.20862068965517241","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.2057471264367816","0.2057471264367816","0.2057471264367816","0.2190909090909091","0.2190909090909091","0.2190909090909091","0.17954022988505747","0.17954022988505747","0.17954022988505747","0.22136363636363637","0.22136363636363637","0.22136363636363637","0.20022988505747127","0.20022988505747127","0.20022988505747127","0.23318181818181818","0.23318181818181818","0.23318181818181818","0.2057471264367816","0.2057471264367816","0.2057471264367816"
"18","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.2154022988505747","0.2154022988505747","0.2154022988505747","0.22636363636363635","0.22636363636363635","0.22636363636363635","0.18770114942528734","0.18770114942528734","0.18770114942528734","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.20264367816091955","0.20264367816091955","0.20264367816091955","0.24409090909090908","0.24409090909090908","0.24409090909090908","0.21379310344827587","0.21379310344827587","0.21379310344827587","0.22363636363636363","0.22363636363636363","0.22363636363636363","0.18804597701149425","0.18804597701149425","0.18804597701149425","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.2013793103448276","0.2013793103448276","0.2013793103448276","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.2060919540229885","0.2060919540229885","0.2060919540229885"
"19","0.24409090909090908","0.24409090909090908","0.24409090909090908","0.2189655172413793","0.2189655172413793","0.2189655172413793","0.2381818181818182","0.2381818181818182","0.2381818181818182","0.2045977011494253","0.2045977011494253","0.2045977011494253","0.24227272727272728","0.24227272727272728","0.24227272727272728","0.2110344827586207","0.2110344827586207","0.2110344827586207","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.21862068965517242","0.21862068965517242","0.21862068965517242","0.2240909090909091","0.2240909090909091","0.2240909090909091","0.18839080459770116","0.18839080459770116","0.18839080459770116","0.2309090909090909","0.2309090909090909","0.2309090909090909","0.20045977011494254","0.20045977011494254","0.20045977011494254","0.23","0.23","0.23","0.20367816091954022","0.20367816091954022","0.20367816091954022"
