"Step","Width only variation : 2048 - test_accuracy","Width only variation : 2048 - test_accuracy__MIN","Width only variation : 2048 - test_accuracy__MAX","Width only variation : 2048 - train_accuracy","Width only variation : 2048 - train_accuracy__MIN","Width only variation : 2048 - train_accuracy__MAX","Width only variation : 1024 - test_accuracy","Width only variation : 1024 - test_accuracy__MIN","Width only variation : 1024 - test_accuracy__MAX","Width only variation : 1024 - train_accuracy","Width only variation : 1024 - train_accuracy__MIN","Width only variation : 1024 - train_accuracy__MAX","Width only variation : 512 - test_accuracy","Width only variation : 512 - test_accuracy__MIN","Width only variation : 512 - test_accuracy__MAX","Width only variation : 512 - train_accuracy","Width only variation : 512 - train_accuracy__MIN","Width only variation : 512 - train_accuracy__MAX","Width only variation : 256 - test_accuracy","Width only variation : 256 - test_accuracy__MIN","Width only variation : 256 - test_accuracy__MAX","Width only variation : 256 - train_accuracy","Width only variation : 256 - train_accuracy__MIN","Width only variation : 256 - train_accuracy__MAX","Width only variation : 128 - test_accuracy","Width only variation : 128 - test_accuracy__MIN","Width only variation : 128 - test_accuracy__MAX","Width only variation : 128 - train_accuracy","Width only variation : 128 - train_accuracy__MIN","Width only variation : 128 - train_accuracy__MAX","Width only variation : 64 - test_accuracy","Width only variation : 64 - test_accuracy__MIN","Width only variation : 64 - test_accuracy__MAX","Width only variation : 64 - train_accuracy","Width only variation : 64 - train_accuracy__MIN","Width only variation : 64 - train_accuracy__MAX","Width only variation : 32 - test_accuracy","Width only variation : 32 - test_accuracy__MIN","Width only variation : 32 - test_accuracy__MAX","Width only variation : 32 - train_accuracy","Width only variation : 32 - train_accuracy__MIN","Width only variation : 32 - train_accuracy__MAX"
"10","0.23272727272727273","0.23272727272727273","0.23272727272727273","0.20551724137931035","0.20551724137931035","0.20551724137931035","0.21863636363636363","0.21863636363636363","0.21863636363636363","0.20436781609195404","0.20436781609195404","0.20436781609195404","0.2309090909090909","0.2309090909090909","0.2309090909090909","0.19701149425287356","0.19701149425287356","0.19701149425287356","0.23","0.23","0.23","0.1986206896551724","0.1986206896551724","0.1986206896551724","0.21181818181818182","0.21181818181818182","0.21181818181818182","0.1993103448275862","0.1993103448275862","0.1993103448275862","0.09181818181818181","0.09181818181818181","0.09181818181818181","0.09977011494252873","0.09977011494252873","0.09977011494252873","0.21727272727272728","0.21727272727272728","0.21727272727272728","0.18183908045977012","0.18183908045977012","0.18183908045977012"
"11","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.20310344827586208","0.20310344827586208","0.20310344827586208","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.19298850574712645","0.19298850574712645","0.19298850574712645","0.22318181818181818","0.22318181818181818","0.22318181818181818","0.2028735632183908","0.2028735632183908","0.2028735632183908","0.22181818181818183","0.22181818181818183","0.22181818181818183","0.2035632183908046","0.2035632183908046","0.2035632183908046","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.1996551724137931","0.1996551724137931","0.1996551724137931","0.15681818181818183","0.15681818181818183","0.15681818181818183","0.11793103448275861","0.11793103448275861","0.11793103448275861","0.21","0.21","0.21","0.1859770114942529","0.1859770114942529","0.1859770114942529"
"12","0.23","0.23","0.23","0.21126436781609195","0.21126436781609195","0.21126436781609195","0.2190909090909091","0.2190909090909091","0.2190909090909091","0.20436781609195404","0.20436781609195404","0.20436781609195404","0.21636363636363637","0.21636363636363637","0.21636363636363637","0.20517241379310344","0.20517241379310344","0.20517241379310344","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.20160919540229885","0.20160919540229885","0.20160919540229885","0.24227272727272728","0.24227272727272728","0.24227272727272728","0.20402298850574713","0.20402298850574713","0.20402298850574713","0.16636363636363635","0.16636363636363635","0.16636363636363635","0.1454022988505747","0.1454022988505747","0.1454022988505747","0.2040909090909091","0.2040909090909091","0.2040909090909091","0.17482758620689656","0.17482758620689656","0.17482758620689656"
"13","0.22954545454545455","0.22954545454545455","0.22954545454545455","0.21057471264367816","0.21057471264367816","0.21057471264367816","0.22045454545454546","0.22045454545454546","0.22045454545454546","0.20954022988505747","0.20954022988505747","0.20954022988505747","0.23045454545454547","0.23045454545454547","0.23045454545454547","0.20367816091954022","0.20367816091954022","0.20367816091954022","0.215","0.215","0.215","0.21333333333333335","0.21333333333333335","0.21333333333333335","0.22772727272727272","0.22772727272727272","0.22772727272727272","0.21413793103448275","0.21413793103448275","0.21413793103448275","0.1640909090909091","0.1640909090909091","0.1640909090909091","0.1471264367816092","0.1471264367816092","0.1471264367816092","0.21545454545454545","0.21545454545454545","0.21545454545454545","0.1896551724137931","0.1896551724137931","0.1896551724137931"
"14","0.21681818181818183","0.21681818181818183","0.21681818181818183","0.20482758620689656","0.20482758620689656","0.20482758620689656","0.2190909090909091","0.2190909090909091","0.2190909090909091","0.2057471264367816","0.2057471264367816","0.2057471264367816","0.23863636363636365","0.23863636363636365","0.23863636363636365","0.21091954022988504","0.21091954022988504","0.21091954022988504","0.23454545454545456","0.23454545454545456","0.23454545454545456","0.2013793103448276","0.2013793103448276","0.2013793103448276","0.2381818181818182","0.2381818181818182","0.2381818181818182","0.2032183908045977","0.2032183908045977","0.2032183908045977","0.16590909090909092","0.16590909090909092","0.16590909090909092","0.14367816091954022","0.14367816091954022","0.14367816091954022","0.20772727272727273","0.20772727272727273","0.20772727272727273","0.19402298850574712","0.19402298850574712","0.19402298850574712"
"15","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.20482758620689656","0.20482758620689656","0.20482758620689656","0.225","0.225","0.225","0.21379310344827587","0.21379310344827587","0.21379310344827587","0.22590909090909092","0.22590909090909092","0.22590909090909092","0.2013793103448276","0.2013793103448276","0.2013793103448276","0.235","0.235","0.235","0.19195402298850575","0.19195402298850575","0.19195402298850575","0.24","0.24","0.24","0.20195402298850576","0.20195402298850576","0.20195402298850576","0.1668181818181818","0.1668181818181818","0.1668181818181818","0.14908045977011494","0.14908045977011494","0.14908045977011494","0.2109090909090909","0.2109090909090909","0.2109090909090909","0.1888505747126437","0.1888505747126437","0.1888505747126437"
"16","0.22454545454545455","0.22454545454545455","0.22454545454545455","0.20494252873563218","0.20494252873563218","0.20494252873563218","0.23272727272727273","0.23272727272727273","0.23272727272727273","0.21045977011494252","0.21045977011494252","0.21045977011494252","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.21114942528735633","0.21114942528735633","0.21114942528735633","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.2003448275862069","0.2003448275862069","0.2003448275862069","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.20793103448275863","0.20793103448275863","0.20793103448275863","0.16545454545454547","0.16545454545454547","0.16545454545454547","0.14666666666666667","0.14666666666666667","0.14666666666666667","0.21227272727272728","0.21227272727272728","0.21227272727272728","0.1935632183908046","0.1935632183908046","0.1935632183908046"
"17","0.22545454545454546","0.22545454545454546","0.22545454545454546","0.20758620689655172","0.20758620689655172","0.20758620689655172","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.20402298850574713","0.20402298850574713","0.20402298850574713","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.2035632183908046","0.2035632183908046","0.2035632183908046","0.24136363636363636","0.24136363636363636","0.24136363636363636","0.20551724137931035","0.20551724137931035","0.20551724137931035","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.20482758620689656","0.20482758620689656","0.20482758620689656","0.16636363636363635","0.16636363636363635","0.16636363636363635","0.14482758620689656","0.14482758620689656","0.14482758620689656","0.20863636363636365","0.20863636363636365","0.20863636363636365","0.19114942528735632","0.19114942528735632","0.19114942528735632"
"18","0.22772727272727272","0.22772727272727272","0.22772727272727272","0.21","0.21","0.21","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.21655172413793103","0.21655172413793103","0.21655172413793103","0.22772727272727272","0.22772727272727272","0.22772727272727272","0.212183908045977","0.212183908045977","0.212183908045977","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.2006896551724138","0.2006896551724138","0.2006896551724138","0.2340909090909091","0.2340909090909091","0.2340909090909091","0.20804597701149424","0.20804597701149424","0.20804597701149424","0.16727272727272727","0.16727272727272727","0.16727272727272727","0.14977011494252873","0.14977011494252873","0.14977011494252873","0.2131818181818182","0.2131818181818182","0.2131818181818182","0.19","0.19","0.19"
"19","0.24","0.24","0.24","0.2096551724137931","0.2096551724137931","0.2096551724137931","0.23045454545454547","0.23045454545454547","0.23045454545454547","0.2024137931034483","0.2024137931034483","0.2024137931034483","0.22863636363636364","0.22863636363636364","0.22863636363636364","0.20494252873563218","0.20494252873563218","0.20494252873563218","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.20862068965517241","0.20862068965517241","0.20862068965517241","0.2390909090909091","0.2390909090909091","0.2390909090909091","0.2024137931034483","0.2024137931034483","0.2024137931034483","0.16545454545454547","0.16545454545454547","0.16545454545454547","0.15264367816091953","0.15264367816091953","0.15264367816091953","0.21227272727272728","0.21227272727272728","0.21227272727272728","0.18919540229885057","0.18919540229885057","0.18919540229885057"
