"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"45","0.5694929957389832","0.5694929957389832","0.5694929957389832","90","90","90"
"46","0.5550699234008789","0.5550699234008789","0.5550699234008789","92","92","92"
"47","0.5541958212852478","0.5541958212852478","0.5541958212852478","94","94","94"
"48","0.5297203063964844","0.5297203063964844","0.5297203063964844","96","96","96"
"49","0.5083041787147522","0.5083041787147522","0.5083041787147522","98","98","98"
"50","0.559003472328186","0.559003472328186","0.559003472328186","100","100","100"
"51","0.41477271914482117","0.41477271914482117","0.41477271914482117","102","102","102"
"52","0.5756118893623352","0.5756118893623352","0.5756118893623352","104","104","104"
"53","0.4825174808502197","0.4825174808502197","0.4825174808502197","106","106","106"
"54","0.5314685106277466","0.5314685106277466","0.5314685106277466","108","108","108"
"55","0.5480769276618958","0.5480769276618958","0.5480769276618958","110","110","110"
"56","0.560751736164093","0.560751736164093","0.560751736164093","112","112","112"
"57","0.5633741021156311","0.5633741021156311","0.5633741021156311","114","114","114"
"58","0.5113636255264282","0.5113636255264282","0.5113636255264282","116","116","116"
"59","0.5087412595748901","0.5087412595748901","0.5087412595748901","118","118","118"
"60","0.5839160680770874","0.5839160680770874","0.5839160680770874","120","120","120"
"61","0.6057692170143127","0.6057692170143127","0.6057692170143127","122","122","122"
"62","0.6088286638259888","0.6088286638259888","0.6088286638259888","124","124","124"
"63","0.5887237787246704","0.5887237787246704","0.5887237787246704","126","126","126"
"64","0.5869755148887634","0.5869755148887634","0.5869755148887634","128","128","128"
"65","0.6350524425506592","0.6350524425506592","0.6350524425506592","130","130","130"
"66","0.620192289352417","0.620192289352417","0.620192289352417","132","132","132"
"67","0.6184440851211548","0.6184440851211548","0.6184440851211548","134","134","134"
"68","0.6324300765991211","0.6324300765991211","0.6324300765991211","136","136","136"
"69","0.5699300765991211","0.5699300765991211","0.5699300765991211","138","138","138"
"70","0.6359265446662903","0.6359265446662903","0.6359265446662903","140","140","140"
"71","0.6092657446861267","0.6092657446861267","0.6092657446861267","142","142","142"
"72","0.617132842540741","0.617132842540741","0.617132842540741","144","144","144"
"73","0.5528846383094788","0.5528846383094788","0.5528846383094788","146","146","146"
"74","0.5856643319129944","0.5856643319129944","0.5856643319129944","148","148","148"
"75","0.564248263835907","0.564248263835907","0.564248263835907","150","150","150"
"76","0.6346153616905212","0.6346153616905212","0.6346153616905212","152","152","152"
"77","0.5804196000099182","0.5804196000099182","0.5804196000099182","154","154","154"
"78","0.46590909361839294","0.46590909361839294","0.46590909361839294","156","156","156"
"79","0.621503472328186","0.621503472328186","0.621503472328186","158","158","158"
"80","0.6446678042411804","0.6446678042411804","0.6446678042411804","160","160","160"
"81","0.5625","0.5625","0.5625","162","162","162"
"82","0.6459790468215942","0.6459790468215942","0.6459790468215942","164","164","164"
"83","0.628496527671814","0.628496527671814","0.628496527671814","166","166","166"
"84","0.6407342553138733","0.6407342553138733","0.6407342553138733","168","168","168"
"85","0.6525349617004395","0.6525349617004395","0.6525349617004395","170","170","170"
"86","0.5878496766090393","0.5878496766090393","0.5878496766090393","172","172","172"
"87","0.623688817024231","0.623688817024231","0.623688817024231","174","174","174"
"88","0.6717657446861267","0.6717657446861267","0.6717657446861267","176","176","176"
"89","0.6394230723381042","0.6394230723381042","0.6394230723381042","178","178","178"
"90","0.628496527671814","0.628496527671814","0.628496527671814","180","180","180"
"91","0.5699300765991211","0.5699300765991211","0.5699300765991211","182","182","182"
"92","0.6713286638259888","0.6713286638259888","0.6713286638259888","184","184","184"
"93","0.6494755148887634","0.6494755148887634","0.6494755148887634","186","186","186"
"94","0.6704545617103577","0.6704545617103577","0.6704545617103577","188","188","188"
"95","0.6486014127731323","0.6486014127731323","0.6486014127731323","190","190","190"
"96","0.6245629191398621","0.6245629191398621","0.6245629191398621","192","192","192"
"97","0.5895978808403015","0.5895978808403015","0.5895978808403015","194","194","194"
"98","0.5620629191398621","0.5620629191398621","0.5620629191398621","196","196","196"
"99","0.6800699234008789","0.6800699234008789","0.6800699234008789","198","198","198"
"100","0.6875","0.6875","0.6875","200","200","200"
"101","0.6354895234107971","0.6354895234107971","0.6354895234107971","202","202","202"
"102","0.6555944085121155","0.6555944085121155","0.6555944085121155","204","204","204"
"103","0.6835664510726929","0.6835664510726929","0.6835664510726929","206","206","206"
"104","0.6643356680870056","0.6643356680870056","0.6643356680870056","208","208","208"
