"epoch","Test all epochs - train_acc","Test all epochs - train_acc__MIN","Test all epochs - train_acc__MAX","Test all epochs - _step","Test all epochs - _step__MIN","Test all epochs - _step__MAX","Test all epochs - test_acc","Test all epochs - test_acc__MIN","Test all epochs - test_acc__MAX","All epochs with augmentation - train_acc","All epochs with augmentation - train_acc__MIN","All epochs with augmentation - train_acc__MAX","All epochs with augmentation - _step","All epochs with augmentation - _step__MIN","All epochs with augmentation - _step__MAX","All epochs with augmentation - test_acc","All epochs with augmentation - test_acc__MIN","All epochs with augmentation - test_acc__MAX"
"215","0.6575000286102295","0.6575000286102295","0.6575000286102295","430.5","430","431","0.373251736164093","0.373251736164093","0.373251736164093","0.2824999988079071","0.2824999988079071","0.2824999988079071","430.5","430","431","0.2862762212753296","0.2862762212753296","0.2862762212753296"
"216","0.6449999809265137","0.6449999809265137","0.6449999809265137","432.5","432","433","0.371940553188324","0.371940553188324","0.371940553188324","0.2475000023841858","0.2475000023841858","0.2475000023841858","432.5","432","433","0.28496503829956055","0.28496503829956055","0.28496503829956055"
"217","0.6700000166893005","0.6700000166893005","0.6700000166893005","434.5","434","435","0.37281468510627747","0.37281468510627747","0.37281468510627747","0.25999999046325684","0.25999999046325684","0.25999999046325684","434.5","434","435","0.28977271914482117","0.28977271914482117","0.28977271914482117"
"218","0.637499988079071","0.637499988079071","0.637499988079071","436.5","436","437","0.3776223659515381","0.3776223659515381","0.3776223659515381","0.2574999928474426","0.2574999928474426","0.2574999928474426","436.5","436","437","0.2950174808502197","0.2950174808502197","0.2950174808502197"
"219","0.6650000214576721","0.6650000214576721","0.6650000214576721","438.5","438","439","0.37543705105781555","0.37543705105781555","0.37543705105781555","0.25","0.25","0.25","438.5","438","439","0.29064685106277466","0.29064685106277466","0.29064685106277466"
"220","0.6675000190734863","0.6675000190734863","0.6675000190734863","440.5","440","441","0.3741258680820465","0.3741258680820465","0.3741258680820465","0.3125","0.3125","0.3125","440.5","440","441","0.2958916127681732","0.2958916127681732","0.2958916127681732"
"221","0.6575000286102295","0.6575000286102295","0.6575000286102295","442.5","442","443","0.37543705105781555","0.37543705105781555","0.37543705105781555","0.25999999046325684","0.25999999046325684","0.25999999046325684","442.5","442","443","0.2954545319080353","0.2954545319080353","0.2954545319080353"
"222","0.6575000286102295","0.6575000286102295","0.6575000286102295","444.5","444","445","0.3806818127632141","0.3806818127632141","0.3806818127632141","0.2574999928474426","0.2574999928474426","0.2574999928474426","444.5","444","445","0.2985139787197113","0.2985139787197113","0.2985139787197113"
"223","0.6650000214576721","0.6650000214576721","0.6650000214576721","446.5","446","447","0.37718531489372253","0.37718531489372253","0.37718531489372253","0.26499998569488525","0.26499998569488525","0.26499998569488525","446.5","446","447","0.30288460850715637","0.30288460850715637","0.30288460850715637"
"224","0.6775000095367432","0.6775000095367432","0.6775000095367432","448.5","448","449","0.375","0.375","0.375","0.2800000011920929","0.2800000011920929","0.2800000011920929","448.5","448","449","0.29632866382598877","0.29632866382598877","0.29632866382598877"
"225","0.6850000023841858","0.6850000023841858","0.6850000023841858","450.5","450","451","0.3824300765991211","0.3824300765991211","0.3824300765991211","0.30000001192092896","0.30000001192092896","0.30000001192092896","450.5","450","451","0.29895105957984924","0.29895105957984924","0.29895105957984924"
"226","0.6725000143051147","0.6725000143051147","0.6725000143051147","452.5","452","453","0.38461539149284363","0.38461539149284363","0.38461539149284363","0.29750001430511475","0.29750001430511475","0.29750001430511475","452.5","452","453","0.30375874042510986","0.30375874042510986","0.30375874042510986"
"227","0.6825000047683716","0.6825000047683716","0.6825000047683716","454.5","454","455","0.3806818127632141","0.3806818127632141","0.3806818127632141","0.27000001072883606","0.27000001072883606","0.27000001072883606","454.5","454","455","0.3033216893672943","0.3033216893672943","0.3033216893672943"
"228","0.6625000238418579","0.6625000238418579","0.6625000238418579","456.5","456","457","0.38199299573898315","0.38199299573898315","0.38199299573898315","0.28999999165534973","0.28999999165534973","0.28999999165534973","456.5","456","457","0.30157342553138733","0.30157342553138733","0.30157342553138733"
"229","0.6949999928474426","0.6949999928474426","0.6949999928474426","458.5","458","459","0.3798076808452606","0.3798076808452606","0.3798076808452606","0.2750000059604645","0.2750000059604645","0.2750000059604645","458.5","458","459","0.3020104765892029","0.3020104765892029","0.3020104765892029"
"230","0.6675000190734863","0.6675000190734863","0.6675000190734863","460.5","460","461","0.38374125957489014","0.38374125957489014","0.38374125957489014","0.29249998927116394","0.29249998927116394","0.29249998927116394","460.5","460","461","0.30069929361343384","0.30069929361343384","0.30069929361343384"
"231","0.675000011920929","0.675000011920929","0.675000011920929","462.5","462","463","0.3824300765991211","0.3824300765991211","0.3824300765991211","0.32499998807907104","0.32499998807907104","0.32499998807907104","462.5","462","463","0.3059440553188324","0.3059440553188324","0.3059440553188324"
"232","0.6800000071525574","0.6800000071525574","0.6800000071525574","464.5","464","465","0.3824300765991211","0.3824300765991211","0.3824300765991211","0.3149999976158142","0.3149999976158142","0.3149999976158142","464.5","464","465","0.30725523829460144","0.30725523829460144","0.30725523829460144"
"233","0.6924999952316284","0.6924999952316284","0.6924999952316284","466.5","466","467","0.3854895234107971","0.3854895234107971","0.3854895234107971","0.2874999940395355","0.2874999940395355","0.2874999940395355","466.5","466","467","0.3085664212703705","0.3085664212703705","0.3085664212703705"
"234","0.6725000143051147","0.6725000143051147","0.6725000143051147","468.5","468","469","0.3872377574443817","0.3872377574443817","0.3872377574443817","0.2824999988079071","0.2824999988079071","0.2824999988079071","468.5","468","469","0.3090035021305084","0.3090035021305084","0.3090035021305084"
"235","0.6499999761581421","0.6499999761581421","0.6499999761581421","470.5","470","471","0.3850524425506592","0.3850524425506592","0.3850524425506592","0.3050000071525574","0.3050000071525574","0.3050000071525574","470.5","470","471","0.3085664212703705","0.3085664212703705","0.3085664212703705"
"236","0.6850000023841858","0.6850000023841858","0.6850000023841858","472.5","472","473","0.38767483830451965","0.38767483830451965","0.38767483830451965","0.29249998927116394","0.29249998927116394","0.29249998927116394","472.5","472","473","0.30069929361343384","0.30069929361343384","0.30069929361343384"
"237","0.6700000166893005","0.6700000166893005","0.6700000166893005","474.5","474","475","0.38854894042015076","0.38854894042015076","0.38854894042015076","0.2750000059604645","0.2750000059604645","0.2750000059604645","474.5","474","475","0.3059440553188324","0.3059440553188324","0.3059440553188324"
"238","0.6899999976158142","0.6899999976158142","0.6899999976158142","476.5","476","477","0.38854894042015076","0.38854894042015076","0.38854894042015076","0.3174999952316284","0.3174999952316284","0.3174999952316284","476.5","476","477","0.3090035021305084","0.3090035021305084","0.3090035021305084"
"239","0.6974999904632568","0.6974999904632568","0.6974999904632568","478.5","478","479","0.39029720425605774","0.39029720425605774","0.39029720425605774","0.29499998688697815","0.29499998688697815","0.29499998688697815","478.5","478","479","0.310751736164093","0.310751736164093","0.310751736164093"
"240","0.6899999976158142","0.6899999976158142","0.6899999976158142","480.5","480","481","0.38942307233810425","0.38942307233810425","0.38942307233810425","0.26249998807907104","0.26249998807907104","0.26249998807907104","480.5","480","481","0.31118881702423096","0.31118881702423096","0.31118881702423096"
"241","0.6899999976158142","0.6899999976158142","0.6899999976158142","482.5","482","483","0.3881118893623352","0.3881118893623352","0.3881118893623352","0.3375000059604645","0.3375000059604645","0.3375000059604645","482.5","482","483","0.3090035021305084","0.3090035021305084","0.3090035021305084"
"242","0.7049999833106995","0.7049999833106995","0.7049999833106995","484.5","484","485","0.39117133617401123","0.39117133617401123","0.39117133617401123","0.27250000834465027","0.27250000834465027","0.27250000834465027","484.5","484","485","0.3098776340484619","0.3098776340484619","0.3098776340484619"
"243","0.6949999928474426","0.6949999928474426","0.6949999928474426","486.5","486","487","0.3907342553138733","0.3907342553138733","0.3907342553138733","0.30250000953674316","0.30250000953674316","0.30250000953674316","486.5","486","487","0.30638110637664795","0.30638110637664795","0.30638110637664795"
"244","0.6875","0.6875","0.6875","488.5","488","489","0.3924825191497803","0.3924825191497803","0.3924825191497803","0.2750000059604645","0.2750000059604645","0.2750000059604645","488.5","488","489","0.30638110637664795","0.30638110637664795","0.30638110637664795"
"245","0.6825000047683716","0.6825000047683716","0.6825000047683716","490.5","490","491","0.3920454680919647","0.3920454680919647","0.3920454680919647","0.29750001430511475","0.29750001430511475","0.29750001430511475","490.5","490","491","0.31293705105781555","0.31293705105781555","0.31293705105781555"
"246","0.6850000023841858","0.6850000023841858","0.6850000023841858","492.5","492","493","0.3898601531982422","0.3898601531982422","0.3898601531982422","0.2800000011920929","0.2800000011920929","0.2800000011920929","492.5","492","493","0.31293705105781555","0.31293705105781555","0.31293705105781555"
"247","0.7024999856948853","0.7024999856948853","0.7024999856948853","494.5","494","495","0.3946678340435028","0.3946678340435028","0.3946678340435028","0.2574999928474426","0.2574999928474426","0.2574999928474426","494.5","494","495","0.3133741319179535","0.3133741319179535","0.3133741319179535"
"248","0.6949999928474426","0.6949999928474426","0.6949999928474426","496.5","496","497","0.39597901701927185","0.39597901701927185","0.39597901701927185","0.2574999928474426","0.2574999928474426","0.2574999928474426","496.5","496","497","0.3125","0.3125","0.3125"
"249","0.7024999856948853","0.7024999856948853","0.7024999856948853","498.5","498","499","0.3924825191497803","0.3924825191497803","0.3924825191497803","0.3050000071525574","0.3050000071525574","0.3050000071525574","498.5","498","499","0.3125","0.3125","0.3125"
"250","0.6924999952316284","0.6924999952316284","0.6924999952316284","500.5","500","501","0.3981643319129944","0.3981643319129944","0.3981643319129944","0.3174999952316284","0.3174999952316284","0.3174999952316284","500.5","500","501","0.31687062978744507","0.31687062978744507","0.31687062978744507"
"251","0.6974999904632568","0.6974999904632568","0.6974999904632568","502.5","502","503","0.3972901999950409","0.3972901999950409","0.3972901999950409","0.29249998927116394","0.29249998927116394","0.29249998927116394","502.5","502","503","0.31687062978744507","0.31687062978744507","0.31687062978744507"
"252","0.6825000047683716","0.6825000047683716","0.6825000047683716","504.5","504","505","0.39597901701927185","0.39597901701927185","0.39597901701927185","0.3174999952316284","0.3174999952316284","0.3174999952316284","504.5","504","505","0.3181818127632141","0.3181818127632141","0.3181818127632141"
"253","0.6875","0.6875","0.6875","506.5","506","507","0.39597901701927185","0.39597901701927185","0.39597901701927185","0.27250000834465027","0.27250000834465027","0.27250000834465027","506.5","506","507","0.32036712765693665","0.32036712765693665","0.32036712765693665"
"254","0.7149999737739563","0.7149999737739563","0.7149999737739563","508.5","508","509","0.3964160978794098","0.3964160978794098","0.3964160978794098","0.29249998927116394","0.29249998927116394","0.29249998927116394","508.5","508","509","0.3164335787296295","0.3164335787296295","0.3164335787296295"
"255","0.7124999761581421","0.7124999761581421","0.7124999761581421","510.5","510","511","0.3990384638309479","0.3990384638309479","0.3990384638309479","0.3075000047683716","0.3075000047683716","0.3075000047683716","510.5","510","511","0.3199300765991211","0.3199300765991211","0.3199300765991211"
"256","0.6899999976158142","0.6899999976158142","0.6899999976158142","512.5","512","513","0.3986014127731323","0.3986014127731323","0.3986014127731323","0.2524999976158142","0.2524999976158142","0.2524999976158142","512.5","512","513","0.31861889362335205","0.31861889362335205","0.31861889362335205"
"257","0.7149999737739563","0.7149999737739563","0.7149999737739563","514.5","514","515","0.40078672766685486","0.40078672766685486","0.40078672766685486","0.28999999165534973","0.28999999165534973","0.28999999165534973","514.5","514","515","0.31861889362335205","0.31861889362335205","0.31861889362335205"
"258","0.6949999928474426","0.6949999928474426","0.6949999928474426","516.5","516","517","0.4038461446762085","0.4038461446762085","0.4038461446762085","0.26750001311302185","0.26750001311302185","0.26750001311302185","516.5","516","517","0.31861889362335205","0.31861889362335205","0.31861889362335205"
"259","0.6949999928474426","0.6949999928474426","0.6949999928474426","518.5","518","519","0.40340909361839294","0.40340909361839294","0.40340909361839294","0.3050000071525574","0.3050000071525574","0.3050000071525574","518.5","518","519","0.31949299573898315","0.31949299573898315","0.31949299573898315"
"260","0.7174999713897705","0.7174999713897705","0.7174999713897705","520.5","520","521","0.40603145956993103","0.40603145956993103","0.40603145956993103","0.29750001430511475","0.29750001430511475","0.29750001430511475","520.5","520","521","0.3238636255264282","0.3238636255264282","0.3238636255264282"
"261","0.7099999785423279","0.7099999785423279","0.7099999785423279","522.5","522","523","0.40428322553634644","0.40428322553634644","0.40428322553634644","0.33000001311302185","0.33000001311302185","0.33000001311302185","522.5","522","523","0.32036712765693665","0.32036712765693665","0.32036712765693665"
"262","0.6924999952316284","0.6924999952316284","0.6924999952316284","524.5","524","525","0.40428322553634644","0.40428322553634644","0.40428322553634644","0.3125","0.3125","0.3125","524.5","524","525","0.3199300765991211","0.3199300765991211","0.3199300765991211"
"263","0.7024999856948853","0.7024999856948853","0.7024999856948853","526.5","526","527","0.4020979106426239","0.4020979106426239","0.4020979106426239","0.3174999952316284","0.3174999952316284","0.3174999952316284","526.5","526","527","0.32211539149284363","0.32211539149284363","0.32211539149284363"
"264","0.7149999737739563","0.7149999737739563","0.7149999737739563","528.5","528","529","0.4029720425605774","0.4029720425605774","0.4029720425605774","0.35249999165534973","0.35249999165534973","0.35249999165534973","528.5","528","529","0.3256118893623352","0.3256118893623352","0.3256118893623352"
"265","0.737500011920929","0.737500011920929","0.737500011920929","530.5","530","531","0.40340909361839294","0.40340909361839294","0.40340909361839294","0.28999999165534973","0.28999999165534973","0.28999999165534973","530.5","530","531","0.32430070638656616","0.32430070638656616","0.32430070638656616"
"266","0.7124999761581421","0.7124999761581421","0.7124999761581421","532.5","532","533","0.40428322553634644","0.40428322553634644","0.40428322553634644","0.32249999046325684","0.32249999046325684","0.32249999046325684","532.5","532","533","0.32604894042015076","0.32604894042015076","0.32604894042015076"
"267","0.7049999833106995","0.7049999833106995","0.7049999833106995","534.5","534","535","0.4073426425457001","0.4073426425457001","0.4073426425457001","0.3375000059604645","0.3375000059604645","0.3375000059604645","534.5","534","535","0.3273601531982422","0.3273601531982422","0.3273601531982422"
"268","0.7099999785423279","0.7099999785423279","0.7099999785423279","536.5","536","537","0.40646854043006897","0.40646854043006897","0.40646854043006897","0.2800000011920929","0.2800000011920929","0.2800000011920929","536.5","536","537","0.3291083872318268","0.3291083872318268","0.3291083872318268"
"269","0.699999988079071","0.699999988079071","0.699999988079071","538.5","538","539","0.4095279574394226","0.4095279574394226","0.4095279574394226","0.2775000035762787","0.2775000035762787","0.2775000035762787","538.5","538","539","0.33173078298568726","0.33173078298568726","0.33173078298568726"
"270","0.7149999737739563","0.7149999737739563","0.7149999737739563","540.5","540","541","0.4073426425457001","0.4073426425457001","0.4073426425457001","0.3425000011920929","0.3425000011920929","0.3425000011920929","540.5","540","541","0.33260488510131836","0.33260488510131836","0.33260488510131836"
"271","0.7275000214576721","0.7275000214576721","0.7275000214576721","542.5","542","543","0.40821677446365356","0.40821677446365356","0.40821677446365356","0.3100000023841858","0.3100000023841858","0.3100000023841858","542.5","542","543","0.33741259574890137","0.33741259574890137","0.33741259574890137"
"272","0.7300000190734863","0.7300000190734863","0.7300000190734863","544.5","544","545","0.40909090638160706","0.40909090638160706","0.40909090638160706","0.3125","0.3125","0.3125","544.5","544","545","0.33522728085517883","0.33522728085517883","0.33522728085517883"
"273","0.737500011920929","0.737500011920929","0.737500011920929","546.5","546","547","0.4134615361690521","0.4134615361690521","0.4134615361690521","0.3125","0.3125","0.3125","546.5","546","547","0.33435314893722534","0.33435314893722534","0.33435314893722534"
"274","0.7024999856948853","0.7024999856948853","0.7024999856948853","548.5","548","549","0.41083917021751404","0.41083917021751404","0.41083917021751404","0.33500000834465027","0.33500000834465027","0.33500000834465027","548.5","548","549","0.3312937021255493","0.3312937021255493","0.3312937021255493"
"275","0.7350000143051147","0.7350000143051147","0.7350000143051147","550.5","550","551","0.4138985872268677","0.4138985872268677","0.4138985872268677","0.3149999976158142","0.3149999976158142","0.3149999976158142","550.5","550","551","0.33260488510131836","0.33260488510131836","0.33260488510131836"
"276","0.7124999761581421","0.7124999761581421","0.7124999761581421","552.5","552","553","0.4134615361690521","0.4134615361690521","0.4134615361690521","0.32749998569488525","0.32749998569488525","0.32749998569488525","552.5","552","553","0.33522728085517883","0.33522728085517883","0.33522728085517883"
"277","0.7174999713897705","0.7174999713897705","0.7174999713897705","554.5","554","555","0.4152098000049591","0.4152098000049591","0.4152098000049591","0.33250001072883606","0.33250001072883606","0.33250001072883606","554.5","554","555","0.3347901999950409","0.3347901999950409","0.3347901999950409"
"278","0.7174999713897705","0.7174999713897705","0.7174999713897705","556.5","556","557","0.41826921701431274","0.41826921701431274","0.41826921701431274","0.32249999046325684","0.32249999046325684","0.32249999046325684","556.5","556","557","0.3395979106426239","0.3395979106426239","0.3395979106426239"
"279","0.7225000262260437","0.7225000262260437","0.7225000262260437","558.5","558","559","0.4178321659564972","0.4178321659564972","0.4178321659564972","0.3050000071525574","0.3050000071525574","0.3050000071525574","558.5","558","559","0.3299825191497803","0.3299825191497803","0.3299825191497803"
"280","0.7350000143051147","0.7350000143051147","0.7350000143051147","560.5","560","561","0.41652098298072815","0.41652098298072815","0.41652098298072815","0.3100000023841858","0.3100000023841858","0.3100000023841858","560.5","560","561","0.33173078298568726","0.33173078298568726","0.33173078298568726"
"281","0.7174999713897705","0.7174999713897705","0.7174999713897705","562.5","562","563","0.4152098000049591","0.4152098000049591","0.4152098000049591","0.3375000059604645","0.3375000059604645","0.3375000059604645","562.5","562","563","0.3347901999950409","0.3347901999950409","0.3347901999950409"
"282","0.7250000238418579","0.7250000238418579","0.7250000238418579","564.5","564","565","0.41564685106277466","0.41564685106277466","0.41564685106277466","0.3449999988079071","0.3449999988079071","0.3449999988079071","564.5","564","565","0.3321678340435028","0.3321678340435028","0.3321678340435028"
"283","0.7250000238418579","0.7250000238418579","0.7250000238418579","566.5","566","567","0.4160839021205902","0.4160839021205902","0.4160839021205902","0.32249999046325684","0.32249999046325684","0.32249999046325684","566.5","566","567","0.3395979106426239","0.3395979106426239","0.3395979106426239"
"284","0.7425000071525574","0.7425000071525574","0.7425000071525574","568.5","568","569","0.4160839021205902","0.4160839021205902","0.4160839021205902","0.36000001430511475","0.36000001430511475","0.36000001430511475","568.5","568","569","0.33916082978248596","0.33916082978248596","0.33916082978248596"
"285","0.7099999785423279","0.7099999785423279","0.7099999785423279","570.5","570","571","0.41739511489868164","0.41739511489868164","0.41739511489868164","0.32249999046325684","0.32249999046325684","0.32249999046325684","570.5","570","571","0.3404720425605774","0.3404720425605774","0.3404720425605774"
"286","0.7475000023841858","0.7475000023841858","0.7475000023841858","572.5","572","573","0.41739511489868164","0.41739511489868164","0.41739511489868164","0.3125","0.3125","0.3125","572.5","572","573","0.342220276594162","0.342220276594162","0.342220276594162"
"287","0.7450000047683716","0.7450000047683716","0.7450000047683716","574.5","574","575","0.41826921701431274","0.41826921701431274","0.41826921701431274","0.29249998927116394","0.29249998927116394","0.29249998927116394","574.5","574","575","0.3330419659614563","0.3330419659614563","0.3330419659614563"
"288","0.7400000095367432","0.7400000095367432","0.7400000095367432","576.5","576","577","0.42132866382598877","0.42132866382598877","0.42132866382598877","0.32249999046325684","0.32249999046325684","0.32249999046325684","576.5","576","577","0.34090909361839294","0.34090909361839294","0.34090909361839294"
"289","0.7350000143051147","0.7350000143051147","0.7350000143051147","578.5","578","579","0.4217657446861267","0.4217657446861267","0.4217657446861267","0.3050000071525574","0.3050000071525574","0.3050000071525574","578.5","578","579","0.3387237787246704","0.3387237787246704","0.3387237787246704"
"290","0.7350000143051147","0.7350000143051147","0.7350000143051147","580.5","580","581","0.4200174808502197","0.4200174808502197","0.4200174808502197","0.33250001072883606","0.33250001072883606","0.33250001072883606","580.5","580","581","0.3430944085121155","0.3430944085121155","0.3430944085121155"
"291","0.7425000071525574","0.7425000071525574","0.7425000071525574","582.5","582","583","0.4200174808502197","0.4200174808502197","0.4200174808502197","0.3149999976158142","0.3149999976158142","0.3149999976158142","582.5","582","583","0.3444055914878845","0.3444055914878845","0.3444055914878845"
"292","0.7549999952316284","0.7549999952316284","0.7549999952316284","584.5","584","585","0.42220279574394226","0.42220279574394226","0.42220279574394226","0.32249999046325684","0.32249999046325684","0.32249999046325684","584.5","584","585","0.3496503531932831","0.3496503531932831","0.3496503531932831"
"293","0.7350000143051147","0.7350000143051147","0.7350000143051147","586.5","586","587","0.4195804297924042","0.4195804297924042","0.4195804297924042","0.3125","0.3125","0.3125","586.5","586","587","0.3470279574394226","0.3470279574394226","0.3470279574394226"
"294","0.7475000023841858","0.7475000023841858","0.7475000023841858","588.5","588","589","0.41914334893226624","0.41914334893226624","0.41914334893226624","0.2874999940395355","0.2874999940395355","0.2874999940395355","588.5","588","589","0.34396854043006897","0.34396854043006897","0.34396854043006897"
"295","0.7450000047683716","0.7450000047683716","0.7450000047683716","590.5","590","591","0.4217657446861267","0.4217657446861267","0.4217657446861267","0.33000001311302185","0.33000001311302185","0.33000001311302185","590.5","590","591","0.3444055914878845","0.3444055914878845","0.3444055914878845"
"296","0.737500011920929","0.737500011920929","0.737500011920929","592.5","592","593","0.4217657446861267","0.4217657446861267","0.4217657446861267","0.28999999165534973","0.28999999165534973","0.28999999165534973","592.5","592","593","0.3395979106426239","0.3395979106426239","0.3395979106426239"
"297","0.737500011920929","0.737500011920929","0.737500011920929","594.5","594","595","0.42569929361343384","0.42569929361343384","0.42569929361343384","0.33500000834465027","0.33500000834465027","0.33500000834465027","594.5","594","595","0.34003496170043945","0.34003496170043945","0.34003496170043945"
"298","0.7425000071525574","0.7425000071525574","0.7425000071525574","596.5","596","597","0.4274475574493408","0.4274475574493408","0.4274475574493408","0.33250001072883606","0.33250001072883606","0.33250001072883606","596.5","596","597","0.3413461446762085","0.3413461446762085","0.3413461446762085"
"299","0.7574999928474426","0.7574999928474426","0.7574999928474426","598.5","598","599","0.4235139787197113","0.4235139787197113","0.4235139787197113","0.32499998807907104","0.32499998807907104","0.32499998807907104","598.5","598","599","0.3430944085121155","0.3430944085121155","0.3430944085121155"
"300","0.7400000095367432","0.7400000095367432","0.7400000095367432","600.5","600","601","0.4226398468017578","0.4226398468017578","0.4226398468017578","0.3400000035762787","0.3400000035762787","0.3400000035762787","600.5","600","601","0.3444055914878845","0.3444055914878845","0.3444055914878845"
"301","0.7425000071525574","0.7425000071525574","0.7425000071525574","602.5","602","603","0.42307692766189575","0.42307692766189575","0.42307692766189575","0.3174999952316284","0.3174999952316284","0.3174999952316284","602.5","602","603","0.34571677446365356","0.34571677446365356","0.34571677446365356"
"302","0.7475000023841858","0.7475000023841858","0.7475000023841858","604.5","604","605","0.4252622425556183","0.4252622425556183","0.4252622425556183","0.3174999952316284","0.3174999952316284","0.3174999952316284","604.5","604","605","0.3461538553237915","0.3461538553237915","0.3461538553237915"
"303","0.7649999856948853","0.7649999856948853","0.7649999856948853","606.5","606","607","0.4261363744735718","0.4261363744735718","0.4261363744735718","0.30250000953674316","0.30250000953674316","0.30250000953674316","606.5","606","607","0.345279723405838","0.345279723405838","0.345279723405838"
"304","0.7699999809265137","0.7699999809265137","0.7699999809265137","608.5","608","609","0.4252622425556183","0.4252622425556183","0.4252622425556183","0.2824999988079071","0.2824999988079071","0.2824999988079071","608.5","608","609","0.3505244851112366","0.3505244851112366","0.3505244851112366"
"305","0.75","0.75","0.75","610.5","610","611","0.4243881106376648","0.4243881106376648","0.4243881106376648","0.3125","0.3125","0.3125","610.5","610","611","0.3527098000049591","0.3527098000049591","0.3527098000049591"
"306","0.762499988079071","0.762499988079071","0.762499988079071","612.5","612","613","0.4235139787197113","0.4235139787197113","0.4235139787197113","0.33250001072883606","0.33250001072883606","0.33250001072883606","612.5","612","613","0.3544580340385437","0.3544580340385437","0.3544580340385437"
"307","0.7574999928474426","0.7574999928474426","0.7574999928474426","614.5","614","615","0.4274475574493408","0.4274475574493408","0.4274475574493408","0.3375000059604645","0.3375000059604645","0.3375000059604645","614.5","614","615","0.3505244851112366","0.3505244851112366","0.3505244851112366"
"308","0.7425000071525574","0.7425000071525574","0.7425000071525574","616.5","616","617","0.42875874042510986","0.42875874042510986","0.42875874042510986","0.26499998569488525","0.26499998569488525","0.26499998569488525","616.5","616","617","0.3509615361690521","0.3509615361690521","0.3509615361690521"
"309","0.7574999928474426","0.7574999928474426","0.7574999928474426","618.5","618","619","0.4252622425556183","0.4252622425556183","0.4252622425556183","0.30000001192092896","0.30000001192092896","0.30000001192092896","618.5","618","619","0.3509615361690521","0.3509615361690521","0.3509615361690521"
"310","0.7400000095367432","0.7400000095367432","0.7400000095367432","620.5","620","621","0.4326923191547394","0.4326923191547394","0.4326923191547394","0.32249999046325684","0.32249999046325684","0.32249999046325684","620.5","620","621","0.3535839021205902","0.3535839021205902","0.3535839021205902"
"311","0.7649999856948853","0.7649999856948853","0.7649999856948853","622.5","622","623","0.4291957914829254","0.4291957914829254","0.4291957914829254","0.3499999940395355","0.3499999940395355","0.3499999940395355","622.5","622","623","0.3592657446861267","0.3592657446861267","0.3592657446861267"
"312","0.762499988079071","0.762499988079071","0.762499988079071","624.5","624","625","0.4270104765892029","0.4270104765892029","0.4270104765892029","0.32249999046325684","0.32249999046325684","0.32249999046325684","624.5","624","625","0.3553321659564972","0.3553321659564972","0.3553321659564972"
"313","0.7574999928474426","0.7574999928474426","0.7574999928474426","626.5","626","627","0.4291957914829254","0.4291957914829254","0.4291957914829254","0.3725000023841858","0.3725000023841858","0.3725000023841858","626.5","626","627","0.3527098000049591","0.3527098000049591","0.3527098000049591"
"314","0.7599999904632568","0.7599999904632568","0.7599999904632568","628.5","628","629","0.42875874042510986","0.42875874042510986","0.42875874042510986","0.3499999940395355","0.3499999940395355","0.3499999940395355","628.5","628","629","0.35402098298072815","0.35402098298072815","0.35402098298072815"
"315","0.7574999928474426","0.7574999928474426","0.7574999928474426","630.5","630","631","0.4335664212703705","0.4335664212703705","0.4335664212703705","0.3149999976158142","0.3149999976158142","0.3149999976158142","630.5","630","631","0.35489511489868164","0.35489511489868164","0.35489511489868164"
"316","0.7825000286102295","0.7825000286102295","0.7825000286102295","632.5","632","633","0.43312937021255493","0.43312937021255493","0.43312937021255493","0.3474999964237213","0.3474999964237213","0.3474999964237213","632.5","632","633","0.3562062978744507","0.3562062978744507","0.3562062978744507"
"317","0.7574999928474426","0.7574999928474426","0.7574999928474426","634.5","634","635","0.4318181872367859","0.4318181872367859","0.4318181872367859","0.3149999976158142","0.3149999976158142","0.3149999976158142","634.5","634","635","0.3610139787197113","0.3610139787197113","0.3610139787197113"
"318","0.7749999761581421","0.7749999761581421","0.7749999761581421","636.5","636","637","0.43706294894218445","0.43706294894218445","0.43706294894218445","0.3425000011920929","0.3425000011920929","0.3425000011920929","636.5","636","637","0.3610139787197113","0.3610139787197113","0.3610139787197113"
"319","0.7574999928474426","0.7574999928474426","0.7574999928474426","638.5","638","639","0.43618881702423096","0.43618881702423096","0.43618881702423096","0.3375000059604645","0.3375000059604645","0.3375000059604645","638.5","638","639","0.3553321659564972","0.3553321659564972","0.3553321659564972"
"320","0.7524999976158142","0.7524999976158142","0.7524999976158142","640.5","640","641","0.43793705105781555","0.43793705105781555","0.43793705105781555","0.3100000023841858","0.3100000023841858","0.3100000023841858","640.5","640","641","0.35576921701431274","0.35576921701431274","0.35576921701431274"
"321","0.7599999904632568","0.7599999904632568","0.7599999904632568","642.5","642","643","0.4366258680820465","0.4366258680820465","0.4366258680820465","0.33500000834465027","0.33500000834465027","0.33500000834465027","642.5","642","643","0.3575174808502197","0.3575174808502197","0.3575174808502197"
"322","0.762499988079071","0.762499988079071","0.762499988079071","644.5","644","645","0.4366258680820465","0.4366258680820465","0.4366258680820465","0.33500000834465027","0.33500000834465027","0.33500000834465027","644.5","644","645","0.3579545319080353","0.3579545319080353","0.3579545319080353"
