"epoch","Test all epochs - train_acc","Test all epochs - train_acc__MIN","Test all epochs - train_acc__MAX","Test all epochs - _step","Test all epochs - _step__MIN","Test all epochs - _step__MAX","Test all epochs - test_acc","Test all epochs - test_acc__MIN","Test all epochs - test_acc__MAX","All epochs with augmentation - train_acc","All epochs with augmentation - train_acc__MIN","All epochs with augmentation - train_acc__MAX","All epochs with augmentation - _step","All epochs with augmentation - _step__MIN","All epochs with augmentation - _step__MAX","All epochs with augmentation - test_acc","All epochs with augmentation - test_acc__MIN","All epochs with augmentation - test_acc__MAX"
"24","0.14749999344348907","0.14749999344348907","0.14749999344348907","48.5","48","49","0.1595279723405838","0.1595279723405838","0.1595279723405838","0.10249999910593033","0.10249999910593033","0.10249999910593033","48.5","48","49","0.1538461595773697","0.1538461595773697","0.1538461595773697"
"25","0.1550000011920929","0.1550000011920929","0.1550000011920929","50.5","50","51","0.15909090638160706","0.15909090638160706","0.15909090638160706","0.11249999701976776","0.11249999701976776","0.11249999701976776","50.5","50","51","0.157779723405838","0.157779723405838","0.157779723405838"
"26","0.1599999964237213","0.1599999964237213","0.1599999964237213","52.5","52","53","0.15821678936481476","0.15821678936481476","0.15821678936481476","0.125","0.125","0.125","52.5","52","53","0.15646852552890778","0.15646852552890778","0.15646852552890778"
"27","0.14499999582767487","0.14499999582767487","0.14499999582767487","54.5","54","55","0.1612762212753296","0.1612762212753296","0.1612762212753296","0.10999999940395355","0.10999999940395355","0.10999999940395355","54.5","54","55","0.15515734255313873","0.15515734255313873","0.15515734255313873"
"28","0.14000000059604645","0.14000000059604645","0.14000000059604645","56.5","56","57","0.16346153616905212","0.16346153616905212","0.16346153616905212","0.11999999731779099","0.11999999731779099","0.11999999731779099","56.5","56","57","0.15690559148788452","0.15690559148788452","0.15690559148788452"
"29","0.14749999344348907","0.14749999344348907","0.14749999344348907","58.5","58","59","0.16389860212802887","0.16389860212802887","0.16389860212802887","0.12250000238418579","0.12250000238418579","0.12250000238418579","58.5","58","59","0.15646852552890778","0.15646852552890778","0.15646852552890778"
"30","0.1550000011920929","0.1550000011920929","0.1550000011920929","60.5","60","61","0.16302447021007538","0.16302447021007538","0.16302447021007538","0.13249999284744263","0.13249999284744263","0.13249999284744263","60.5","60","61","0.15515734255313873","0.15515734255313873","0.15515734255313873"
"31","0.1525000035762787","0.1525000035762787","0.1525000035762787","62.5","62","63","0.16870629787445068","0.16870629787445068","0.16870629787445068","0.10999999940395355","0.10999999940395355","0.10999999940395355","62.5","62","63","0.15515734255313873","0.15515734255313873","0.15515734255313873"
"32","0.15000000596046448","0.15000000596046448","0.15000000596046448","64.5","64","65","0.17089161276817322","0.17089161276817322","0.17089161276817322","0.11249999701976776","0.11249999701976776","0.11249999701976776","64.5","64","65","0.157779723405838","0.157779723405838","0.157779723405838"
"33","0.1599999964237213","0.1599999964237213","0.1599999964237213","66.5","66","67","0.1752622425556183","0.1752622425556183","0.1752622425556183","0.11249999701976776","0.11249999701976776","0.11249999701976776","66.5","66","67","0.1612762212753296","0.1612762212753296","0.1612762212753296"
"34","0.16500000655651093","0.16500000655651093","0.16500000655651093","68.5","68","69","0.17657342553138733","0.17657342553138733","0.17657342553138733","0.0949999988079071","0.0949999988079071","0.0949999988079071","68.5","68","69","0.1595279723405838","0.1595279723405838","0.1595279723405838"
"35","0.16750000417232513","0.16750000417232513","0.16750000417232513","70.5","70","71","0.17657342553138733","0.17657342553138733","0.17657342553138733","0.14749999344348907","0.14749999344348907","0.14749999344348907","70.5","70","71","0.15909090638160706","0.15909090638160706","0.15909090638160706"
"36","0.17499999701976776","0.17499999701976776","0.17499999701976776","72.5","72","73","0.17744755744934082","0.17744755744934082","0.17744755744934082","0.13500000536441803","0.13500000536441803","0.13500000536441803","72.5","72","73","0.16215035319328308","0.16215035319328308","0.16215035319328308"
"37","0.16750000417232513","0.16750000417232513","0.16750000417232513","74.5","74","75","0.18050698935985565","0.18050698935985565","0.18050698935985565","0.10499999672174454","0.10499999672174454","0.10499999672174454","74.5","74","75","0.1612762212753296","0.1612762212753296","0.1612762212753296"
"38","0.17749999463558197","0.17749999463558197","0.17749999463558197","76.5","76","77","0.1857517510652542","0.1857517510652542","0.1857517510652542","0.10750000178813934","0.10750000178813934","0.10750000178813934","76.5","76","77","0.16215035319328308","0.16215035319328308","0.16215035319328308"
"39","0.17749999463558197","0.17749999463558197","0.17749999463558197","78.5","78","79","0.18487761914730072","0.18487761914730072","0.18487761914730072","0.1274999976158142","0.1274999976158142","0.1274999976158142","78.5","78","79","0.16433566808700562","0.16433566808700562","0.16433566808700562"
"40","0.1850000023841858","0.1850000023841858","0.1850000023841858","80.5","80","81","0.18706293404102325","0.18706293404102325","0.18706293404102325","0.11500000208616257","0.11500000208616257","0.11500000208616257","80.5","80","81","0.16826923191547394","0.16826923191547394","0.16826923191547394"
"41","0.17749999463558197","0.17749999463558197","0.17749999463558197","82.5","82","83","0.19187062978744507","0.19187062978744507","0.19187062978744507","0.13750000298023224","0.13750000298023224","0.13750000298023224","82.5","82","83","0.16914336383342743","0.16914336383342743","0.16914336383342743"
"42","0.19249999523162842","0.19249999523162842","0.19249999523162842","84.5","84","85","0.19230769574642181","0.19230769574642181","0.19230769574642181","0.13500000536441803","0.13500000536441803","0.13500000536441803","84.5","84","85","0.17089161276817322","0.17089161276817322","0.17089161276817322"
"43","0.17749999463558197","0.17749999463558197","0.17749999463558197","86.5","86","87","0.19536712765693665","0.19536712765693665","0.19536712765693665","0.15000000596046448","0.15000000596046448","0.15000000596046448","86.5","86","87","0.17220279574394226","0.17220279574394226","0.17220279574394226"
"44","0.20250000059604645","0.20250000059604645","0.20250000059604645","88.5","88","89","0.2006118893623352","0.2006118893623352","0.2006118893623352","0.14249999821186066","0.14249999821186066","0.14249999821186066","88.5","88","89","0.16958041489124298","0.16958041489124298","0.16958041489124298"
"45","0.17249999940395355","0.17249999940395355","0.17249999940395355","90.5","90","91","0.19842657446861267","0.19842657446861267","0.19842657446861267","0.125","0.125","0.125","90.5","90","91","0.17307692766189575","0.17307692766189575","0.17307692766189575"
"46","0.20499999821186066","0.20499999821186066","0.20499999821186066","92.5","92","93","0.2014860212802887","0.2014860212802887","0.2014860212802887","0.1525000035762787","0.1525000035762787","0.1525000035762787","92.5","92","93","0.17569929361343384","0.17569929361343384","0.17569929361343384"
"47","0.22499999403953552","0.22499999403953552","0.22499999403953552","94.5","94","95","0.20629370212554932","0.20629370212554932","0.20629370212554932","0.1550000011920929","0.1550000011920929","0.1550000011920929","94.5","94","95","0.18531468510627747","0.18531468510627747","0.18531468510627747"
"48","0.21250000596046448","0.21250000596046448","0.21250000596046448","96.5","96","97","0.21066433191299438","0.21066433191299438","0.21066433191299438","0.12250000238418579","0.12250000238418579","0.12250000238418579","96.5","96","97","0.18531468510627747","0.18531468510627747","0.18531468510627747"
"49","0.22750000655651093","0.22750000655651093","0.22750000655651093","98.5","98","99","0.21153846383094788","0.21153846383094788","0.21153846383094788","0.14749999344348907","0.14749999344348907","0.14749999344348907","98.5","98","99","0.18138112127780914","0.18138112127780914","0.18138112127780914"
"50","0.2199999988079071","0.2199999988079071","0.2199999988079071","100.5","100","101","0.21284964680671692","0.21284964680671692","0.21284964680671692","0.14499999582767487","0.14499999582767487","0.14499999582767487","100.5","100","101","0.18269230425357819","0.18269230425357819","0.18269230425357819"
"51","0.2224999964237213","0.2224999964237213","0.2224999964237213","102.5","102","103","0.2137237787246704","0.2137237787246704","0.2137237787246704","0.17499999701976776","0.17499999701976776","0.17499999701976776","102.5","102","103","0.1818181872367859","0.1818181872367859","0.1818181872367859"
"52","0.2175000011920929","0.2175000011920929","0.2175000011920929","104.5","104","105","0.21765734255313873","0.21765734255313873","0.21765734255313873","0.12999999523162842","0.12999999523162842","0.12999999523162842","104.5","104","105","0.18444055318832397","0.18444055318832397","0.18444055318832397"
"53","0.2549999952316284","0.2549999952316284","0.2549999952316284","106.5","106","107","0.21809440851211548","0.21809440851211548","0.21809440851211548","0.15000000596046448","0.15000000596046448","0.15000000596046448","106.5","106","107","0.18487761914730072","0.18487761914730072","0.18487761914730072"
"54","0.25","0.25","0.25","108.5","108","109","0.21678321063518524","0.21678321063518524","0.21678321063518524","0.13500000536441803","0.13500000536441803","0.13500000536441803","108.5","108","109","0.18225523829460144","0.18225523829460144","0.18225523829460144"
"55","0.2524999976158142","0.2524999976158142","0.2524999976158142","110.5","110","111","0.2220279723405838","0.2220279723405838","0.2220279723405838","0.13249999284744263","0.13249999284744263","0.13249999284744263","110.5","110","111","0.1809440553188324","0.1809440553188324","0.1809440553188324"
"56","0.26249998807907104","0.26249998807907104","0.26249998807907104","112.5","112","113","0.2237762212753296","0.2237762212753296","0.2237762212753296","0.125","0.125","0.125","112.5","112","113","0.18138112127780914","0.18138112127780914","0.18138112127780914"
"57","0.2549999952316284","0.2549999952316284","0.2549999952316284","114.5","114","115","0.22727273404598236","0.22727273404598236","0.22727273404598236","0.14000000059604645","0.14000000059604645","0.14000000059604645","114.5","114","115","0.18487761914730072","0.18487761914730072","0.18487761914730072"
"58","0.25999999046325684","0.25999999046325684","0.25999999046325684","116.5","116","117","0.22683566808700562","0.22683566808700562","0.22683566808700562","0.16249999403953552","0.16249999403953552","0.16249999403953552","116.5","116","117","0.18356643617153168","0.18356643617153168","0.18356643617153168"
"59","0.2750000059604645","0.2750000059604645","0.2750000059604645","118.5","118","119","0.22552447021007538","0.22552447021007538","0.22552447021007538","0.12999999523162842","0.12999999523162842","0.12999999523162842","118.5","118","119","0.1809440553188324","0.1809440553188324","0.1809440553188324"
"60","0.25999999046325684","0.25999999046325684","0.25999999046325684","120.5","120","121","0.2285839170217514","0.2285839170217514","0.2285839170217514","0.17249999940395355","0.17249999940395355","0.17249999940395355","120.5","120","121","0.18312937021255493","0.18312937021255493","0.18312937021255493"
"61","0.2849999964237213","0.2849999964237213","0.2849999964237213","122.5","122","123","0.22683566808700562","0.22683566808700562","0.22683566808700562","0.1274999976158142","0.1274999976158142","0.1274999976158142","122.5","122","123","0.1857517510652542","0.1857517510652542","0.1857517510652542"
"62","0.2750000059604645","0.2750000059604645","0.2750000059604645","124.5","124","125","0.22814685106277466","0.22814685106277466","0.22814685106277466","0.18000000715255737","0.18000000715255737","0.18000000715255737","124.5","124","125","0.1800699234008789","0.1800699234008789","0.1800699234008789"
"63","0.26499998569488525","0.26499998569488525","0.26499998569488525","126.5","126","127","0.22989509999752045","0.22989509999752045","0.22989509999752045","0.1599999964237213","0.1599999964237213","0.1599999964237213","126.5","126","127","0.18225523829460144","0.18225523829460144","0.18225523829460144"
"64","0.26499998569488525","0.26499998569488525","0.26499998569488525","128.5","128","129","0.23076923191547394","0.23076923191547394","0.23076923191547394","0.16750000417232513","0.16750000417232513","0.16750000417232513","128.5","128","129","0.18618881702423096","0.18618881702423096","0.18618881702423096"
"65","0.30250000953674316","0.30250000953674316","0.30250000953674316","130.5","130","131","0.23470279574394226","0.23470279574394226","0.23470279574394226","0.16249999403953552","0.16249999403953552","0.16249999403953552","130.5","130","131","0.18312937021255493","0.18312937021255493","0.18312937021255493"
"66","0.28999999165534973","0.28999999165534973","0.28999999165534973","132.5","132","133","0.235139861702919","0.235139861702919","0.235139861702919","0.1850000023841858","0.1850000023841858","0.1850000023841858","132.5","132","133","0.18531468510627747","0.18531468510627747","0.18531468510627747"
"67","0.30250000953674316","0.30250000953674316","0.30250000953674316","134.5","134","135","0.23557692766189575","0.23557692766189575","0.23557692766189575","0.17749999463558197","0.17749999463558197","0.17749999463558197","134.5","134","135","0.18225523829460144","0.18225523829460144","0.18225523829460144"
"68","0.29750001430511475","0.29750001430511475","0.29750001430511475","136.5","136","137","0.23295454680919647","0.23295454680919647","0.23295454680919647","0.14499999582767487","0.14499999582767487","0.14499999582767487","136.5","136","137","0.18881118297576904","0.18881118297576904","0.18881118297576904"
"69","0.28999999165534973","0.28999999165534973","0.28999999165534973","138.5","138","139","0.2368881106376648","0.2368881106376648","0.2368881106376648","0.18250000476837158","0.18250000476837158","0.18250000476837158","138.5","138","139","0.18400350213050842","0.18400350213050842","0.18400350213050842"
"70","0.3149999976158142","0.3149999976158142","0.3149999976158142","140.5","140","141","0.23426572978496552","0.23426572978496552","0.23426572978496552","0.1525000035762787","0.1525000035762787","0.1525000035762787","140.5","140","141","0.19187062978744507","0.19187062978744507","0.19187062978744507"
"71","0.3050000071525574","0.3050000071525574","0.3050000071525574","142.5","142","143","0.23470279574394226","0.23470279574394226","0.23470279574394226","0.1574999988079071","0.1574999988079071","0.1574999988079071","142.5","142","143","0.18968531489372253","0.18968531489372253","0.18968531489372253"
"72","0.3174999952316284","0.3174999952316284","0.3174999952316284","144.5","144","145","0.23557692766189575","0.23557692766189575","0.23557692766189575","0.18000000715255737","0.18000000715255737","0.18000000715255737","144.5","144","145","0.19361887872219086","0.19361887872219086","0.19361887872219086"
"73","0.33000001311302185","0.33000001311302185","0.33000001311302185","146.5","146","147","0.23557692766189575","0.23557692766189575","0.23557692766189575","0.1599999964237213","0.1599999964237213","0.1599999964237213","146.5","146","147","0.1958041936159134","0.1958041936159134","0.1958041936159134"
"74","0.3199999928474426","0.3199999928474426","0.3199999928474426","148.5","148","149","0.23951049149036407","0.23951049149036407","0.23951049149036407","0.16500000655651093","0.16500000655651093","0.16500000655651093","148.5","148","149","0.1958041936159134","0.1958041936159134","0.1958041936159134"
"75","0.3499999940395355","0.3499999940395355","0.3499999940395355","150.5","150","151","0.2377622425556183","0.2377622425556183","0.2377622425556183","0.17749999463558197","0.17749999463558197","0.17749999463558197","150.5","150","151","0.1958041936159134","0.1958041936159134","0.1958041936159134"
"76","0.3149999976158142","0.3149999976158142","0.3149999976158142","152.5","152","153","0.2360139787197113","0.2360139787197113","0.2360139787197113","0.1599999964237213","0.1599999964237213","0.1599999964237213","152.5","152","153","0.19361887872219086","0.19361887872219086","0.19361887872219086"
"77","0.33500000834465027","0.33500000834465027","0.33500000834465027","154.5","154","155","0.23645104467868805","0.23645104467868805","0.23645104467868805","0.18000000715255737","0.18000000715255737","0.18000000715255737","154.5","154","155","0.20367132127285004","0.20367132127285004","0.20367132127285004"
"78","0.3474999964237213","0.3474999964237213","0.3474999964237213","156.5","156","157","0.23907342553138733","0.23907342553138733","0.23907342553138733","0.15000000596046448","0.15000000596046448","0.15000000596046448","156.5","156","157","0.2006118893623352","0.2006118893623352","0.2006118893623352"
"79","0.33500000834465027","0.33500000834465027","0.33500000834465027","158.5","158","159","0.24125874042510986","0.24125874042510986","0.24125874042510986","0.17000000178813934","0.17000000178813934","0.17000000178813934","158.5","158","159","0.20410838723182678","0.20410838723182678","0.20410838723182678"
"80","0.32749998569488525","0.32749998569488525","0.32749998569488525","160.5","160","161","0.2416958063840866","0.2416958063840866","0.2416958063840866","0.14499999582767487","0.14499999582767487","0.14499999582767487","160.5","160","161","0.2071678340435028","0.2071678340435028","0.2071678340435028"
"81","0.3375000059604645","0.3375000059604645","0.3375000059604645","162.5","162","163","0.24562937021255493","0.24562937021255493","0.24562937021255493","0.1850000023841858","0.1850000023841858","0.1850000023841858","162.5","162","163","0.20454545319080353","0.20454545319080353","0.20454545319080353"
"82","0.3174999952316284","0.3174999952316284","0.3174999952316284","164.5","164","165","0.24519230425357819","0.24519230425357819","0.24519230425357819","0.17749999463558197","0.17749999463558197","0.17749999463558197","164.5","164","165","0.20585663616657257","0.20585663616657257","0.20585663616657257"
"83","0.35249999165534973","0.35249999165534973","0.35249999165534973","166.5","166","167","0.2482517510652542","0.2482517510652542","0.2482517510652542","0.1899999976158142","0.1899999976158142","0.1899999976158142","166.5","166","167","0.2006118893623352","0.2006118893623352","0.2006118893623352"
"84","0.35499998927116394","0.35499998927116394","0.35499998927116394","168.5","168","169","0.25043705105781555","0.25043705105781555","0.25043705105781555","0.18250000476837158","0.18250000476837158","0.18250000476837158","168.5","168","169","0.20192307233810425","0.20192307233810425","0.20192307233810425"
"85","0.36500000953674316","0.36500000953674316","0.36500000953674316","170.5","170","171","0.25524476170539856","0.25524476170539856","0.25524476170539856","0.13750000298023224","0.13750000298023224","0.13750000298023224","170.5","170","171","0.2006118893623352","0.2006118893623352","0.2006118893623352"
"86","0.36500000953674316","0.36500000953674316","0.36500000953674316","172.5","172","173","0.2548076808452606","0.2548076808452606","0.2548076808452606","0.16750000417232513","0.16750000417232513","0.16750000417232513","172.5","172","173","0.20104895532131195","0.20104895532131195","0.20104895532131195"
"87","0.36250001192092896","0.36250001192092896","0.36250001192092896","174.5","174","175","0.2591783106327057","0.2591783106327057","0.2591783106327057","0.14499999582767487","0.14499999582767487","0.14499999582767487","174.5","174","175","0.20192307233810425","0.20192307233810425","0.20192307233810425"
"88","0.3474999964237213","0.3474999964237213","0.3474999964237213","176.5","176","177","0.2622377574443817","0.2622377574443817","0.2622377574443817","0.12999999523162842","0.12999999523162842","0.12999999523162842","176.5","176","177","0.20629370212554932","0.20629370212554932","0.20629370212554932"
"89","0.36250001192092896","0.36250001192092896","0.36250001192092896","178.5","178","179","0.2674825191497803","0.2674825191497803","0.2674825191497803","0.14499999582767487","0.14499999582767487","0.14499999582767487","178.5","178","179","0.20367132127285004","0.20367132127285004","0.20367132127285004"
"90","0.3675000071525574","0.3675000071525574","0.3675000071525574","180.5","180","181","0.26354894042015076","0.26354894042015076","0.26354894042015076","0.1599999964237213","0.1599999964237213","0.1599999964237213","180.5","180","181","0.20847901701927185","0.20847901701927185","0.20847901701927185"
